time,heartValue
0, 18715
1, 283
2, 280
3, 281
4, 278
5, 278
6, 276
7, 276
8, 277
9, 297
10, 297
11, 298
12, 297
13, 297
14, 297
15, 299
16, 296
17, 294
18, 294
19, 296
20, 295
21, 297
22, 293
23, 292
24, 291
25, 292
26, 294
27, 293
28, 289
29, 291
30, 289
31, 287
32, 287
33, 286
34, 285
35, 283
36, 282
37, 283
38, 282
39, 281
40, 282
41, 280
42, 283
43, 283
44, 280
45, 281
46, 278
47, 278
48, 276
49, 276
50, 277
51, 65281
52, 283
53, 287
54, 291
55, 292
56, 291
57, 294
58, 291
59, 286
60, 287
61, 286
62, 287
63, 289
64, 290
65, 294
66, 293
67, 291
68, 292
69, 296
70, 308
71, 328
72, 359
73, 405
74, 417
75, 347
76, 263
77, 183
78, 167
79, 216
80, 254
81, 285
82, 299
83, 310
84, 317
85, 319
86, 321
87, 324
88, 324
89, 329
90, 331
91, 333
92, 339
93, 339
94, 341
95, 343
96, 345
97, 349
98, 350
99, 350
100, 358
101, 358
102, 359
103, 362
104, 362
105, 364
106, 366
107, 366
108, 365
109, 363
110, 361
111, 358
112, 352
113, 349
114, 344
115, 341
116, 337
117, 333
118, 329
119, 325
120, 323
121, 320
122, 319
123, 319
124, 322
125, 321
126, 321
127, 324
128, 323
129, 325
130, 323
131, 325
132, 326
133, 321
134, 325
135, 326
136, 326
137, 327
138, 327
139, 324
140, 326
141, 327
142, 330
143, 330
144, 329
145, 328
146, 328
147, 327
148, 329
149, 326
150, 327
151, 327
152, 326
153, 328
154, 329
155, 330
156, 332
157, 331
158, 329
159, 328
160, 326
161, 327
162, 327
163, 327
164, 327
165, 331
166, 335
167, 336
168, 337
169, 336
170, 332
171, 330
172, 331
173, 331
174, 334
175, 335
176, 334
177, 335
178, 334
179, 333
180, 333
181, 336
182, 346
183, 361
184, 389
185, 430
186, 449
187, 394
188, 315
189, 242
190, 203
191, 238
192, 279
193, 312
194, 328
195, 338
196, 345
197, 343
198, 346
199, 349
200, 350
201, 355
202, 356
203, 357
204, 359
205, 361
206, 366
207, 368
208, 368
209, 370
210, 372
211, 373
212, 376
213, 377
214, 380
215, 381
216, 383
217, 384
218, 382
219, 382
220, 382
221, 379
222, 374
223, 369
224, 364
225, 361
226, 356
227, 351
228, 349
229, 343
230, 339
231, 335
232, 334
233, 331
234, 330
235, 331
236, 330
237, 329
238, 330
239, 331
240, 332
241, 332
242, 330
243, 329
244, 329
245, 330
246, 335
247, 335
248, 332
249, 333
250, 335
251, 333
252, 332
253, 330
254, 334
255, 332
256, 328
257, 330
258, 329
259, 329
260, 329
261, 328
262, 327
263, 330
264, 330
265, 328
266, 329
267, 331
268, 332
269, 332
270, 333
271, 333
272, 333
273, 334
274, 332
275, 330
276, 330
277, 328
278, 332
279, 331
280, 329
281, 336
282, 338
283, 338
284, 339
285, 338
286, 337
287, 333
288, 334
289, 336
290, 337
291, 337
292, 336
293, 334
294, 336
295, 336
296, 336
297, 340
298, 353
299, 375
300, 407
301, 443
302, 435
