time,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16,x17,y17,x18,y18,x19,y19,x20,y20,x21,y21,x22,y22,x23,y23,x24,y24,x25,y25,x26,y26,x27,y27,x28,y28,x29,y29,x30,y30,x31,y31,x32,y32,x33,y33,x34,y34,x35,y35,x36,y36,x37,y37,x38,y38,x39,y39,x40,y40,x41,y41,x42,y42,x43,y43,x44,y44,x45,y45,x46,y46,x47,y47,x48,y48,x49,y49,x50,y50,x51,y51
1,259.593,203.797,268.578,185.834,288.244,179.566,308.475,182.18,326.328,190.499,347.853,188.492,367.22,178.632,389.164,174.666,410.628,180.602,422.872,197.922,337.065,209.123,336.913,224.09,336.632,238.88,336.432,254.694,319.755,272.784,328.93,274.896,338.404,276.589,347.937,274.013,357.222,271.767,279.229,218.576,288.589,212.576,300.925,211.931,312.666,218.154,301.034,221.5,288.701,222.285,365.531,215.838,377.766,209.01,390.451,209.139,400.425,214.872,390.784,218.775,378.019,218.328,306.503,309.097,318.068,298.831,329.553,292.333,338.403,294.896,347.368,292.075,359.953,297.671,374.484,307.038,359.88,312.715,347.877,314.625,338.477,315.42,329.23,315.359,318.096,314.567,312.795,308.174,330.02,303.638,338.765,303.77,348.066,303.215,367.759,306.356,347.186,300.442,338.076,301.493,329.508,301.459
2,262.449,199.329,271.676,183.003,289.873,177.356,308.876,179.856,325.883,187.268,350.322,186.127,369.766,176.77,391.317,173.779,412.667,178.834,425.221,194.941,339.229,208.434,338.845,222.626,338.382,236.763,337.97,252.007,322.275,271.642,330.918,273.514,339.521,274.622,348.847,272.736,358.173,270.871,281.775,216.311,290.901,210.923,303.017,210.208,314.553,216.111,303.213,219.568,291.192,220.497,368.191,214.086,379.849,207.448,392.455,208.161,402.817,213.661,392.589,217.788,379.9,217.227,308.09,308.754,318.823,297.917,331.212,291.32,339.902,293.76,348.508,291.025,361.466,297.003,374.206,307.001,361.45,315.013,349.111,318.296,339.892,319.46,330.55,319.163,318.775,317.449,313.704,307.987,331.237,303.601,339.997,303.857,348.91,302.998,367.836,306.19,348.827,304.155,340.001,305.208,331.273,305.217
3,263.66,198.967,271.482,182.944,289.174,176.806,307.61,178.496,324.707,185.287,352.553,184.236,371.38,175.542,392.133,173.106,412.199,178.508,423.625,194.389,338.862,206.781,338.553,221.783,338.151,236.406,337.855,252.407,321.206,270.739,330.149,272.964,339.178,274.553,348.988,272.316,358.142,269.77,281.336,215.617,290.494,210.564,302.125,210.038,313.697,215.378,302.33,218.744,290.799,219.555,367.823,213.284,379.208,207.388,391.489,207.605,401.837,212.711,391.672,216.794,379.211,216.217,306.893,308.193,318.023,299.404,330.103,294.173,338.931,297.071,347.751,294.162,361.015,299.256,374.457,307.616,360.637,317.487,347.882,320.414,338.527,321.315,328.851,320.514,317.414,318.001,312.374,307.524,329.931,305.305,339.06,306.238,348.112,305.16,368.142,307.128,347.709,305.439,338.786,306.508,329.716,305.741
4,263.953,199.155,273.426,182.844,292.171,178.049,311.239,180.049,328.438,188.16,350.484,186.648,369.138,176.021,390.909,173.242,411.763,178.013,423.717,194.754,340.529,208.96,340.453,223.164,340.291,237.27,340.045,252.318,323.839,272.475,332.765,273.77,341.778,274.743,350.853,273.496,360.044,271.493,282.779,216.93,292.014,211.16,303.596,210.99,314.949,217.378,303.597,220.162,292.027,220.549,368.692,215.28,379.741,207.853,392.164,207.669,402.675,213.01,392.882,217.308,380.256,217.333,307.055,307.54,318.972,297.97,331.962,292.358,341.484,295.151,350.555,292.228,363.882,297.991,378.228,306.305,363.685,313.682,350.857,316.952,341.009,317.803,330.812,317.141,318.648,315.231,312.739,306.901,331.933,303.148,341.7,304.154,351.02,303.052,371.837,305.875,350.45,303.267,340.988,304.648,331.299,304.103
5,262.998,200.861,271.751,183.662,290.542,177.895,309.537,180.204,327.479,187.771,350.432,186.624,369.487,176.5,390.831,173.125,411.889,178.562,423.713,196.176,340.367,208.024,340.371,223.044,340.295,237.597,340.359,253.133,323.164,272.539,332.316,273.082,341.277,274.057,350.552,272.667,360.03,271.524,282.186,216.056,291.329,210.567,302.798,210.29,313.979,216.756,302.809,219.861,291.403,220.346,368.941,214.704,380.066,207.24,392.402,207.515,402.494,212.851,392.871,217.362,380.289,217.303,308.822,308.14,319.142,296.274,332.342,289.551,341.523,292.256,350.202,289.431,363.269,295.758,376.05,305.917,363.871,316.323,351.369,320.606,341.734,321.694,331.644,321.16,319.252,318.414,315.109,307.458,332.529,302.776,341.858,303.104,350.846,302.481,368.569,305.601,350.484,305.059,341.409,306.421,332.164,306.107
6,262.171,197.682,272.056,182.821,289.943,177.695,308.163,179.685,324.867,186.597,352.408,185.219,371.015,175.972,391.825,172.701,411.705,177.399,424.78,191.928,339.415,209.085,339.426,223.511,339.372,237.702,339.434,252.765,323.198,271.778,331.99,273.348,341.002,274.147,350.128,272.804,359.089,270.761,281.425,216.004,290.861,211.041,302.214,210.738,313.315,217.021,302.165,219.951,290.85,220.221,369.727,214.326,380.306,207.229,392.305,207.405,402.871,212.334,392.676,216.492,380.509,216.541,309.612,309.292,320.315,297.541,332.993,289.993,341.414,292.392,349.529,289.545,362.883,295.852,374.821,307.081,362.936,316.248,350.493,320.115,341.497,321.24,332.351,320.895,320.345,319.061,315.474,308.292,333.268,302.369,341.767,302.636,350.146,301.602,367.975,306.03,349.671,305.394,341.157,306.78,332.52,306.447
7,263.275,198.756,271.804,183.459,289.706,177.866,307.882,179.85,324.84,186.931,351.985,184.949,370.502,175.898,390.927,173.414,410.826,178.844,422.669,194.889,338.594,207.97,338.624,222.089,338.667,235.864,338.729,250.971,321.914,270.96,330.891,272.58,339.886,273.767,349.372,271.846,358.601,269.671,281.432,216.676,290.837,210.863,302.622,210.271,314.211,216.438,302.679,219.566,291.151,220.43,367.539,213.78,378.894,207.171,391.173,207.655,401.489,213.28,391.373,217.04,378.951,216.512,306.549,307.541,317.659,296.997,330.655,289.874,340.142,292.692,349.101,289.804,362.387,296.234,375.372,306.026,362.556,316.289,349.85,320.676,340.137,322.016,329.726,321.41,317.437,318.462,312.921,307.152,330.765,303.585,340.477,303.982,349.733,303.079,368.682,305.8,349.24,305.215,340.048,306.652,330.384,306.182
8,262.528,199.255,271.702,183.363,290.111,178.05,308.916,180.063,325.629,187.919,349.219,187.047,367.704,176.194,389.083,172.942,409.779,177.96,422.411,193.962,338.139,208.077,338.016,222.842,337.767,237.369,337.7,252.808,320.832,271.44,329.776,273.163,339.058,274.92,348.843,272.942,358.228,270.655,280.713,216.867,290.101,211.133,301.908,210.615,313.281,216.893,301.864,219.841,290.123,220.875,366.932,214.168,378.879,207.205,391.354,207.066,401.513,212.789,391.706,216.963,378.987,216.726,304.46,306.696,316.084,297.633,329.116,291.721,338.703,294.322,347.548,291.528,361.194,296.74,375.78,305.078,361.642,312.876,348.771,316.191,339.264,317.197,328.936,316.732,316.742,314.875,310.375,306.295,329.264,302.416,339.048,302.872,348.19,302.046,369.145,304.899,348.259,302.542,339.056,303.775,329.398,303.234
9,261.801,200.499,270.87,184.532,289.219,178.607,307.717,180.944,324.235,188.613,349.214,186.786,367.921,176.482,389.201,173.061,409.731,178.385,421.444,195.336,338.286,209.213,338.217,223.938,338.052,238.414,337.951,253.661,321.118,271.358,330.059,273.203,339.252,274.572,348.658,272.885,357.77,270.63,280.765,216.97,289.729,211.68,301.034,211.201,312.082,217.256,301.345,220.001,289.994,220.753,367.58,214.713,378.508,207.724,390.423,207.875,400.804,213.236,391.037,217.083,378.753,216.825,306.658,308.895,317.914,298.04,330.574,291.065,339.494,293.804,348.32,290.936,360.816,297.767,374.158,306.73,361.188,316.401,349.023,319.764,339.482,320.636,329.794,320.385,317.777,318.326,312.632,308,330.72,303.53,339.787,304.087,348.968,303.223,367.056,306.41,348.391,304.607,339.246,305.797,330.073,305.3
10,262.953,200.273,271.726,184.096,289.781,178.209,308.489,180.623,325.251,187.794,348.841,186.972,367.141,176.962,388.066,172.919,408.607,177.195,420.495,193.915,338.033,208.988,338.211,223.901,338.31,238.354,338.491,253.636,320.672,271.788,329.962,273.356,339.417,274.972,349.221,273.104,358.984,270.703,280.608,216.816,289.864,211.392,301.38,210.838,313.183,216.933,301.468,219.791,290.213,220.417,366.257,214.548,377.837,207.624,389.961,207.538,400.383,212.759,390.484,216.847,378.18,216.666,304.751,308.703,316.037,297.97,329.891,291.61,339.107,294.415,347.942,291.513,360.991,297.268,374.72,307.109,360.825,315.308,347.983,319.108,338.351,320.26,328.376,320.177,315.634,317.72,309.983,307.585,329.877,304.068,339.309,304.858,348.551,303.674,368.541,306.558,347.59,304.807,338.313,306.235,328.993,305.954
