time,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16,x17,y17,x18,y18,x19,y19,x20,y20,x21,y21,x22,y22,x23,y23,x24,y24,x25,y25,x26,y26,x27,y27,x28,y28,x29,y29,x30,y30,x31,y31,x32,y32,x33,y33,x34,y34,x35,y35,x36,y36,x37,y37,x38,y38,x39,y39,x40,y40,x41,y41,x42,y42,x43,y43,x44,y44,x45,y45,x46,y46,x47,y47,x48,y48,x49,y49,x50,y50,x51,y51
1,272.676,221.474,282.818,208.538,299.869,205.517,316.42,208.549,331.818,215.218,350.402,214.029,366.806,205.005,385.776,200.83,405.65,203.941,419.224,216.181,341.745,232.693,341.942,246.184,342.045,259.4,342.04,273.031,326.807,290.316,335.528,291.678,343.893,292.94,352.937,291.053,362.206,288.867,289.64,240.884,297.924,235.434,308.955,234.98,320.111,240.692,309.056,243.692,298.01,244.518,367.729,238.716,378.777,232.398,390.74,232.4,400.946,237.206,391.181,241.03,379.114,240.932,314.786,321.973,326.087,312.204,336.804,305.991,345.583,308.023,353.725,305.439,365.739,310.593,379.409,320.244,365.675,326.183,354.469,328.299,345.737,329.051,336.659,328.798,326.309,327.549,320.201,321.22,337.079,316.758,345.744,316.752,354.313,316.062,373.302,319.31,353.432,315.423,345.159,316.543,336.578,316.436
2,272.094,223.381,281.152,209.578,297.921,205.57,314.995,208.314,330.787,215.356,350.229,214.408,367.246,205.619,386.386,201.665,405.98,205.17,418.904,217.992,341.024,231.442,340.974,245.348,340.938,259.047,340.761,273.266,326.282,289.833,334.537,291.481,342.977,292.788,351.717,290.815,360.42,288.783,288.09,241.73,296.919,236.224,308.492,234.922,319.539,239.973,308.646,243.615,297.155,244.924,366.637,237.687,377.962,231.829,390.121,232.287,400.321,237.174,390.352,240.892,378.054,240.458,314.074,321.945,325.211,312.691,335.914,306.776,344.158,308.656,352.003,305.95,363.5,310.71,377.296,319.178,363.794,325.395,353.159,327.664,344.684,328.423,336.12,328.325,325.613,327.423,319.695,321.422,336.441,316.813,344.628,316.942,352.82,316.13,371.32,318.786,352.18,316.071,344.07,316.734,336.125,316.982
3,271.6,221.758,281.039,208.646,298.203,204.798,314.887,207.411,330.191,214.263,350.564,213.301,367.259,204.58,386.304,200.926,405.855,203.922,418.761,216.783,341.681,231.338,342.029,245.624,342.334,259.869,342.617,274.378,327.335,291.265,335.87,293.073,344.229,294.275,352.864,292.017,361.428,289.52,288.556,241.501,297,235.069,308.665,234.204,320.272,239.926,308.834,243.661,297.241,244.955,366.417,237.644,377.696,230.652,390.209,231.377,400.732,236.896,390.605,240.995,377.981,240.617,313.982,322.329,325.506,312.758,336.45,306.564,344.311,308.436,351.989,305.809,363.714,310.616,376.935,319.705,364.188,325.813,353.657,327.961,345.253,328.852,337.007,328.952,326.161,328.492,319.712,321.795,337.075,317.332,344.773,317.135,352.924,316.518,370.694,319.062,352.532,315.508,344.475,316.349,336.961,316.675
4,271.157,224.23,280.376,209.923,297.719,205.245,315.252,207.202,331.385,214.239,349.439,213.51,366.203,204.708,385.553,201.142,405.41,203.789,419.211,216.722,341.528,231.321,341.585,244.927,341.779,258.194,341.819,271.959,327.007,289.892,335.413,291.361,343.71,292.404,351.971,290.459,360.156,288.469,288.915,241.924,297.283,236.176,308.644,235.071,319.564,240.527,308.882,244.025,297.618,245.318,365.88,237.918,376.925,231.794,389.162,232.292,399.309,237.055,389.611,241.107,377.182,240.86,313.815,321.073,325.85,312.074,336.239,306.052,344.369,307.915,351.626,305.212,363.392,310.24,377.017,318.5,363.856,324.846,353.065,327.225,344.933,328.236,336.656,328.089,326.105,327.417,319.474,320.6,336.832,316.425,344.764,316.316,352.545,315.516,370.716,318.021,351.962,315.288,344.228,315.984,336.452,316.105
5,271.188,222.628,281.284,209.026,298.695,205.898,315.793,208.272,331.87,215.066,350.475,214.2,366.718,205.537,385.656,201.782,405.348,203.977,418.854,216.464,342.029,231.264,342.316,245.412,342.531,258.945,342.645,273.243,327.077,290.785,335.747,292.039,344.096,292.908,352.993,290.891,361.786,288.791,288.91,241.253,297.379,235.646,308.601,234.484,320.017,239.641,308.876,243.231,297.705,244.498,366.981,237.411,378.089,231.408,389.81,231.734,400.428,236.531,390.307,240.441,378.379,240.163,312.999,320.973,324.942,312.461,336.148,306.354,344.878,308.236,352.679,305.604,364.454,310.09,377.711,318.666,364.625,325.271,354.011,327.597,345.299,328.712,336.158,328.806,325.226,327.912,318.768,320.609,336.498,316.523,345.121,316.76,353.307,315.906,371.231,318.303,352.942,314.955,344.621,316.152,336.147,316.274
6,271.753,222.871,281.283,208.792,298.394,205.077,315.577,207.695,331.275,214.582,349.682,213.595,366.402,204.454,385.906,200.477,405.577,203.472,418.426,216.745,341.329,231.295,341.6,245.423,341.889,259.292,342.09,273.681,326.405,290.74,335.079,292.36,343.298,293.261,352.316,291.357,361.153,289.07,288.7,241.244,297.207,235.153,309.035,234.289,320.179,239.826,309.363,243.438,297.608,244.69,366.142,237.151,377.247,230.671,389.57,231.219,399.829,236.069,389.987,240.318,377.403,240.062,313.198,322.18,324.193,312.501,335.204,306.447,343.599,308.216,351.991,305.588,364.152,310.467,377.653,319.124,364.604,325.951,353.507,328.883,344.448,329.961,335.614,330.073,324.533,328.902,318.994,321.602,335.844,317.37,344.011,317.219,352.946,316.311,371.193,318.696,352.532,316.5,343.779,317.601,335.608,317.725
7,270.355,225.446,279.25,210.928,296.482,205.896,314.155,207.92,330.968,214.37,351.235,213.173,367.51,204.909,386.058,201.108,405.517,204.02,418.241,216.71,340.942,231.683,341.465,245.392,341.869,258.967,342.254,272.945,326.887,290.57,335.536,291.818,343.862,292.737,352.526,290.549,361.001,288.396,289.048,241.458,297.396,235.435,309.21,234.312,320.114,239.881,309.434,243.768,297.692,244.919,366.025,237.577,376.946,231.133,389.212,231.7,399.195,236.788,389.703,241.1,377.23,240.71,313.978,322.044,324.969,312.1,336.432,306.17,344.755,308.05,352.455,305.314,364.204,309.884,377.033,318.981,364.04,325.404,353.429,328.047,344.901,329.229,336.393,329.19,325.495,328.298,319.418,321.363,336.793,316.761,345.085,316.727,353.081,315.908,370.685,318.403,352.496,315.604,344.352,316.747,336.37,316.967
8,270.965,223.234,280.624,209.271,297.971,205.652,315.171,208.178,331.257,214.623,349.416,213.171,366.416,204.938,384.969,201.395,404.014,204.226,415.994,217.548,341.849,231.512,342.088,245.398,342.453,258.879,342.771,272.866,327.581,290.452,336.03,291.712,343.976,292.625,351.998,291.023,360.103,289.367,288.489,241.659,297.04,235.401,308.645,234.322,319.815,239.338,309.028,243.456,297.476,244.996,364.99,236.915,376.572,230.786,388.645,231.503,398.273,236.931,388.823,240.732,376.677,240.242,314.36,321.467,325.934,311.987,336.942,306.192,344.393,308.038,351.923,305.398,363.318,310.432,376.037,319.15,363.177,325.319,352.844,327.37,344.554,328.39,336.691,328.429,326.085,327.7,319.783,320.726,337.333,316.263,344.609,316.339,352.592,315.621,370.13,318.466,351.946,315.384,344.057,316.158,336.778,316.35
9,272.291,224.036,281.394,210.246,298.21,205.759,315.162,207.707,330.686,214.146,350.61,213.331,366.578,204.488,384.992,200.525,404.496,203.362,417.532,215.954,341.284,231.501,341.756,245.547,342.268,259.416,342.676,273.688,326.851,290.072,335.412,291.728,343.901,292.889,352.67,290.643,361.253,288.525,290.087,241.085,297.958,235.627,308.881,234.921,319.364,240.139,309.216,243.158,298.321,244.204,367.573,237.905,377.883,231.81,388.98,231.891,398.617,236.456,389.592,240.268,378.471,240.324,314.861,321.638,325.864,312.645,336.745,306.358,345.022,308.326,352.827,305.45,364.341,310.415,377.053,319.063,364.297,325.189,353.94,328.049,345.44,329.413,336.881,329.294,326.272,328.228,320.066,321.326,337.218,316.537,345.384,316.652,353.486,315.807,371.318,318.627,352.846,315.609,344.714,316.822,336.733,317.079
10,272.064,222.946,280.827,209.437,297.717,205.319,314.474,207.905,330.353,214.338,350.527,212.75,367.373,204.845,386.08,201.405,405.308,204.002,418.212,216.42,341.273,231.117,341.303,245.14,341.319,258.826,341.297,272.977,326.595,290.543,334.89,291.775,342.762,292.567,351.423,290.711,359.677,288.808,289.563,240.391,297.683,234.072,309.418,233.336,320.427,239.299,309.544,242.818,297.911,243.933,366.296,237.371,377.527,230.05,390.199,230.709,400.541,236.516,390.529,240.492,377.723,240.302,314.397,321.348,324.88,312.222,335.796,306.397,343.334,308.065,351.192,305.522,362.498,310.484,375.875,319.191,362.76,324.495,352.638,326.97,344.018,328.14,336.086,328.117,325.527,327.158,320.401,320.601,336.222,316.274,343.672,316.206,351.92,315.362,369.42,318.493,351.796,314.408,343.551,315.631,336.174,315.91
11,272.03,222.381,281.083,209.028,297.824,204.84,314.673,206.974,330.768,213.542,350.576,212.069,367.442,204.206,386.576,200.936,405.988,204.603,418.468,217.321,341.448,231.501,341.979,244.918,342.392,258.052,342.749,271.852,327.653,289.87,335.742,291.266,343.699,292.183,352.306,290.424,360.772,288.685,289.791,240.103,297.707,235.034,308.447,234.058,318.95,239.341,308.788,242.22,298.299,243.157,367.154,237.237,377.554,231.321,388.899,231.629,399.029,236.194,389.219,239.777,377.663,239.647,313.989,321.732,325.354,312.228,336.674,305.985,345.027,308.116,352.299,305.465,364.394,310.822,377.201,319.798,364.135,325.747,353.441,327.541,345.093,328.395,336.545,328.133,325.768,327.522,319.465,321.255,337.079,316.767,345.348,317.022,352.936,316.53,371.136,319.302,352.386,315.071,344.522,315.818,336.474,315.968
12,272.745,221.784,281.617,208.201,298.262,204.398,315.031,206.997,330.524,213.582,349.561,212.118,366.543,203.524,386.046,199.702,405.734,203.373,418.497,216.377,341.051,231.422,341.18,245.379,341.283,258.881,341.311,272.904,326.471,289.557,335.059,290.672,342.985,291.637,351.562,289.632,360.122,288.017,289.743,239.706,297.943,234.907,308.759,234.361,318.921,239.651,308.887,242.387,298.177,242.973,368.03,237.131,378.303,230.985,389.811,230.957,399.789,235.176,390.362,238.839,378.826,239.018,315.289,320.782,325.891,311.379,336.182,305.534,344.421,307.238,352.235,304.686,363.535,309.594,376.2,318.536,363.309,323.553,353.314,325.578,344.515,326.948,335.991,326.862,325.882,326.623,320.444,320.225,336.617,315.931,344.707,315.997,352.871,315.133,370.174,317.762,352.261,313.619,344.039,314.724,335.996,315.017
13,272.561,221.034,282.15,207.51,298.85,204.045,315.489,206.936,330.749,213.341,349.526,212.08,366.445,203.299,385.847,199.281,405.637,202.315,418.738,214.962,340.831,229.951,341.055,243.655,341.115,257.177,341.158,271.065,326.775,288.909,335.047,290.466,343.413,291.387,351.962,289.468,360.554,287.491,289.388,239.696,297.61,234.549,308.592,234.116,319.244,239.141,308.855,242.045,297.922,242.767,368.145,236.525,378.926,230.855,390.378,231.051,400.951,235.415,390.895,238.854,379.28,238.93,313.884,321.322,324.65,311.351,335.598,305.089,344.184,306.946,352.321,304.251,364.699,309.535,378.89,318.974,365.11,325.142,353.809,327.419,344.911,328.65,335.961,328.426,325.084,327.411,319.131,320.673,336.214,315.663,344.74,315.712,353.241,314.73,372.399,318.286,352.604,315.21,344.225,316.308,335.757,316.465
14,273.1,221.16,282.139,207.324,298.838,203.395,315.573,205.449,331.217,212.143,352.307,209.982,368.353,201.192,387.138,197.395,405.91,200.516,418.419,213.27,342.625,230.019,342.974,243.048,343.361,256.045,343.659,269.545,328.682,287.245,336.917,288.541,345.018,289.59,353.615,287.708,362.371,285.359,290.544,239.39,298.87,234.461,309.473,233.438,320.294,238.423,310.013,240.909,299.395,241.893,369.264,235.259,379.627,229.683,390.613,229.854,400.338,234.009,390.861,237.066,379.685,236.992,316.131,320.021,326.303,310.289,337.684,303.605,345.791,305.544,353.734,302.801,365.198,308.031,378.283,316.988,365.878,325.893,355.15,329.635,346.453,331.173,337.737,331.278,326.561,329.214,321.756,319.592,338.114,315.784,346.122,315.714,354.486,314.784,371.891,316.869,354.15,316.129,345.937,317.238,337.82,317.585
15,272.697,220.036,282.706,207.057,299.273,203.336,316.034,205.656,331.15,212.127,351.762,211.316,367.652,202.381,386.399,198.297,405.202,200.901,418.022,212.803,342.514,229.494,342.89,243.219,343.339,256.752,343.874,270.824,328.474,288.001,336.913,289.611,345.279,290.89,353.954,288.998,362.231,286.756,290.671,238.763,298.991,233.916,309.411,233.247,319.64,238.073,309.765,240.72,299.357,241.572,369.159,235.264,379.797,229.61,390.67,229.827,400.419,233.962,390.99,237.396,379.872,237.351,316.172,319.635,327.295,311.018,338.451,304.799,346.427,306.741,353.884,304.071,365.324,309.226,378.416,316.937,365.865,322.372,355.541,324.794,347.185,325.719,338.846,325.634,327.824,325.04,321.455,319.229,339.031,315.769,346.873,315.82,354.803,315.084,372.53,316.467,354.337,312.681,346.384,313.618,338.623,313.676
