time,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16,x17,y17,x18,y18,x19,y19,x20,y20,x21,y21,x22,y22,x23,y23,x24,y24,x25,y25,x26,y26,x27,y27,x28,y28,x29,y29,x30,y30,x31,y31,x32,y32,x33,y33,x34,y34,x35,y35,x36,y36,x37,y37,x38,y38,x39,y39,x40,y40,x41,y41,x42,y42,x43,y43,x44,y44,x45,y45,x46,y46,x47,y47,x48,y48,x49,y49,x50,y50,x51,y51
1,241.473,204.327,250.855,184.994,272.387,179.473,293.616,182,312.488,190.924,332.161,189.196,352.711,177.393,376.25,173.003,399.684,178.352,411.287,198.189,324.092,209.378,324.49,226.823,324.866,243.733,325.307,261.57,306.723,280.385,316.814,282.496,327.04,284.155,337.274,281.503,346.855,278.319,262.623,219.822,272.523,213.087,285.464,211.838,298.877,218.134,286.244,222.606,273.168,224.185,352.383,215.045,365.518,208.425,379.205,208.819,390.098,214.374,379.276,219.252,365.261,218.399,290.457,317.883,303.442,307.767,317.387,301.13,328.064,303.623,337.442,300.178,350.879,305.052,365.54,313.97,351.3,322.122,339.266,326.096,329.249,327.729,318.428,327.733,304.919,326.187,296.942,317.448,317.993,313.516,328.539,313.459,338.288,312.208,358.258,313.973,338.161,311.035,328.401,312.604,318.193,312.684
2,237.889,201.626,247.087,182.936,268.143,176.575,289.585,178.807,308.252,188.384,331.714,187.007,351.929,175.451,375.326,171.276,398.486,176.557,411.726,194.87,321.928,209.423,322.452,226.422,323.046,242.896,323.772,260.241,305.003,279.978,315.323,281.621,325.495,282.781,335.417,280.429,344.936,278.047,258.957,219.141,269.021,213.208,281.659,212.482,293.834,218.2,281.915,221.56,269.422,222.618,353.06,215.141,365.594,208.52,378.62,208.527,389.738,213.432,379.124,217.604,365.899,217.418,288.955,317.666,302.206,307.738,316.311,300.705,325.734,303.179,334.457,299.991,347.363,305.534,362.652,314.124,347.76,322.287,336.037,325.36,326.553,326.818,316.592,326.706,303.315,325.687,294.872,317.045,316.668,313.046,326.157,313.133,335.304,312.081,355.414,313.75,335.086,310.544,325.848,312.047,316.619,311.93
3,238.379,196.61,249.61,181.255,269.441,177.203,289.673,179.67,308.081,187.703,334.147,186.609,353.296,176.008,375.506,171.186,398.221,175.628,411.286,192.392,322.554,210.017,323.154,227.42,323.826,244.246,324.556,261.687,305.922,280.011,315.869,282.227,325.946,284.007,335.888,281.327,345.36,278.601,259.891,217.977,270.207,212.692,283.166,211.982,295.79,217.54,283.334,221.475,270.38,222.626,351.205,215.141,363.81,208.869,377.546,209.057,388.439,213.808,377.873,218.866,364.086,218.12,290.231,318.196,303.573,307.747,317.094,301.454,327.522,304.006,337.064,300.566,350.019,305.768,363.842,314.962,350.286,322.707,338.465,325.789,328.033,327.235,317.144,327.018,304.225,325.568,296.944,317.552,317.308,313.53,327.691,313.957,337.858,312.741,356.429,314.628,337.411,310.573,327.404,311.916,317.365,311.746
4,238.038,198.679,248.52,182.251,268.353,176.899,289.031,178.669,308.328,187.003,334.103,185.098,354.375,174.916,376.912,170.511,399.042,175.45,412.827,191.44,322.19,207.755,322.757,225.193,323.365,242.295,323.995,260.295,306.017,280.395,315.863,281.691,325.835,283.227,335.628,280.866,345.26,278.423,259.951,218.893,269.51,213.168,282.575,212.334,295.211,218.102,282.716,221.913,270.024,222.891,352.897,214.983,365.579,208.939,378.946,208.618,389.884,213.716,379.349,217.992,365.76,217.611,290.55,318.494,303.194,307.582,316.169,300.637,327.038,303.508,336.343,299.898,349.494,305.342,363.809,315.133,349.64,323.064,337.718,325.871,327.578,326.921,316.513,326.744,304.126,325.764,297.254,317.868,316.664,313.533,327.438,314.095,337.269,312.746,356.45,314.653,336.587,311.098,326.92,312.33,316.505,312.333
5,235.271,202.041,245.498,183.194,267.361,176.507,289.536,179.094,309.518,188.023,331.992,187.087,351.929,175.213,375.095,170.911,398.605,175.528,412.735,192.65,322.046,210.262,322.61,227.074,323.383,243.653,324.077,260.909,305.206,280.624,315.622,282.863,325.498,284.235,335.966,281.719,345.982,278.929,258.377,220.508,269.17,214.375,281.948,213.538,294.515,219.611,282.26,222.793,269.497,224.055,352.919,216.228,365.827,209.765,379.221,209.359,390.431,214.786,379.662,218.896,365.988,218.569,289.65,318.22,303.368,308.004,317.121,301.282,327.414,303.724,336.534,300.464,350.602,305.558,366.562,314.461,351.017,322.773,338.303,326.073,328.322,327.339,317.705,327.384,304.33,326.267,296.507,317.773,317.725,313.098,327.892,313.447,337.559,312.241,358.502,314.29,337.182,311.594,327.558,312.519,317.734,312.905
6,238.34,201.771,248.238,183.741,269.126,178.23,290.212,180.534,309.293,189.344,331.21,188.24,351.006,176.694,373.542,171.884,396.099,175.953,409.202,193.386,322.174,208.825,322.677,226.099,323.325,242.943,323.988,260.852,305.224,280.131,315.76,282.059,325.879,283.494,335.744,280.996,345.2,278.422,260.106,220.533,269.967,214.955,282.103,213.756,294.937,218.046,282.787,222.008,270.838,223.502,349.84,214.717,363.117,208.772,376.312,209.163,387.323,213.803,376.496,217.724,363.173,217.054,289.785,318.95,302.7,307.901,316.132,301.4,326.463,303.828,336.116,300.548,349.529,305.672,363.902,314.403,349.543,322.338,337.514,325.233,327.155,326.41,316.309,326.555,303.456,325.416,296.322,318.264,316.609,313.265,326.904,313.506,337.179,312.394,356.182,314.497,336.19,310.528,326.093,311.768,316.046,311.928
7,237.957,199.946,248.955,182.997,269.865,178.451,290.523,181.046,308.972,189.171,334.246,187.434,353.168,176.866,374.805,172.293,396.816,176.312,409.274,193.032,322.694,208.78,323.424,226.365,324.279,243.258,325.336,261.153,306.012,279.698,316.159,282.231,326.054,284.242,336.069,281.506,345.392,278.153,259.702,219.504,270.445,213.692,283.091,212.757,296.156,217.893,283.666,221.963,270.913,223.474,350.878,214.524,364,208.356,377.558,208.495,388.562,213.489,377.85,218.069,364.123,217.682,289.76,317.15,302.622,306.155,316.308,300.313,327.076,303.004,337.065,299.688,350.447,304.496,364.784,313.857,350.571,321.572,338.536,325.153,327.768,326.669,316.729,326.398,303.71,324.862,296.426,316.391,316.681,312.17,327.323,312.696,337.949,311.499,357.554,313.612,337.636,310.384,327.063,311.874,316.772,311.737
8,238.803,201.99,248.335,183.526,269.193,178.061,290.131,179.953,309.981,188.558,334.106,187.272,354.494,176.355,377.405,171.879,399.761,176.981,411.791,195.653,323.029,208.837,323.705,226.21,324.412,243.125,325.109,260.976,306.372,279.822,316.318,281.664,326.332,283.52,336.592,280.75,346.689,277.471,260.518,219.682,270.255,214.4,282.361,212.988,295.673,217.358,283.169,220.99,271.171,222.614,353.002,214.071,366.133,209.139,378.757,209.517,389.597,214.291,378.559,217.588,365.632,216.661,290.336,317.964,303.375,307.327,317.159,300.549,327.898,302.885,336.87,299.629,350.246,304.847,364.356,314.054,350.454,321.037,338.424,324.39,328.611,325.679,317.637,325.466,304.809,324.988,297.224,317.354,317.607,312.679,328.249,313.12,337.784,311.894,356.749,313.663,337.196,310.046,327.8,311.08,317.426,310.943
9,237.839,203.739,246.833,184.306,268.423,177.807,289.902,179.858,309.681,188.214,332.425,186.496,351.991,175.82,374.752,171.034,397.762,175.589,411.367,192.56,322.141,207.477,322.799,225.095,323.367,242.191,324.064,259.866,306.135,279.189,316.054,280.738,325.962,282.097,336.168,279.488,346.476,277.137,259.835,219.539,269.45,214.043,281.774,213.117,294.31,217.717,282.276,221.126,270.173,222.336,354.346,214.215,367.183,208.819,379.997,208.601,390.707,213.317,380.385,217.026,367.312,216.73,291.522,317.008,304.636,306.634,317.124,299.515,327.735,301.867,337.475,298.68,350.489,303.979,366.115,313.037,351.005,320.612,338.678,323.405,328.083,324.829,317.302,325.104,305.197,324.755,297.918,316.193,317.734,311.35,328.212,311.5,338.361,310.277,358.618,312.438,337.56,309.046,327.385,310.349,317.169,310.381
10,239.562,199.844,250.099,182.291,270.997,177.405,292.14,179.99,310.952,188.738,332.111,187.554,352.481,176.602,375.444,172.09,398.325,176.699,412.066,193.759,322.477,209.194,323.026,226.359,323.662,242.827,324.441,260.376,306.462,279.74,316.302,281.964,326.219,283.736,336.21,280.954,345.365,277.764,261.355,219.017,271.461,213.023,284.099,211.837,297.186,217.541,284.624,221.474,272.034,222.84,351.976,214.31,365.185,208.267,378.732,208.525,389.692,213.788,378.838,218.234,365.043,217.516,290.172,317.333,302.654,306.33,315.955,299.847,326.896,302.313,336.205,299.158,350.157,304.664,364.43,313.957,350.136,321.888,337.831,325.103,327.602,326.479,316.419,326.448,303.708,325.031,296.821,316.845,316.654,311.942,327.417,312.184,337.144,311.217,356.807,313.717,336.473,310.246,326.608,311.317,316.194,311.591
