time,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16,x17,y17,x18,y18,x19,y19,x20,y20,x21,y21,x22,y22,x23,y23,x24,y24,x25,y25,x26,y26,x27,y27,x28,y28,x29,y29,x30,y30,x31,y31,x32,y32,x33,y33,x34,y34,x35,y35,x36,y36,x37,y37,x38,y38,x39,y39,x40,y40,x41,y41,x42,y42,x43,y43,x44,y44,x45,y45,x46,y46,x47,y47,x48,y48,x49,y49,x50,y50,x51,y51
1,235.174,198.418,246.409,180.907,267.714,175.232,289.099,177.48,309.165,184.662,334.208,181.983,353.728,170.557,375.867,164.867,399.197,167.636,413.993,183.527,323.01,205.34,324.331,223.856,325.485,241.795,326.648,260.123,307.209,280.453,318.114,281.817,328.682,282.714,339.182,279.899,349.458,276.806,257.103,218.545,268.092,211.098,282.364,208.891,298.014,215.918,283.446,220.59,269.159,222.273,352.212,211.077,366.135,202.392,381.103,202.247,393.949,208.396,382.168,213.68,366.871,213.739,292.743,319.121,306.067,307.888,319.768,300.384,330.707,302.578,340.526,298.971,353.975,304.031,370.509,313.112,355.115,321.996,342.585,325.975,331.135,328.029,319.63,328.239,306.821,326.593,299.936,318.315,320.341,313.156,331.221,312.873,341.865,311.466,362.295,313.195,340.857,310.294,330.181,312.011,319.49,312.636
2,235.361,199.741,245.704,181.386,266.612,175.934,287.556,177.839,307.48,185.235,335.015,182.53,354.355,171.41,376.975,165.946,400.226,169.49,414.535,186.301,322.771,206.229,323.939,224.671,324.969,242.309,326.036,260.546,307.304,281.278,317.787,282.509,327.813,283.258,338.162,280.82,348.37,278.208,256.778,218.619,267.725,210.999,281.91,209.806,296.567,217.939,282.323,222,267.995,223.303,351.548,214.12,364.827,203.693,380.071,203.221,393.2,209.811,381.761,215.848,366.38,216.24,290.304,319.647,304.393,308.475,318.466,301.011,329.311,303.103,338.849,299.395,353.767,304.397,369.058,314.065,354.473,322.988,340.918,326.717,330.373,328.334,319.306,328.492,305.689,327.338,296.673,318.859,319.045,314.079,329.952,313.706,339.964,312.299,361.532,313.768,339.376,311.453,329.276,312.95,318.616,313.536
3,234.925,200.146,245.48,182.771,265.688,176.346,286.639,177.848,306.949,184.605,331.368,183.142,350.609,171.724,372.888,166.045,396.216,168.967,411.973,184.74,321.258,206.378,323.078,224.169,324.929,241.51,326.79,259.727,306.995,281.522,317.72,282.405,328.082,283.405,338.579,280.693,349.44,278.079,257.124,221.362,266.886,214.976,279.817,212.924,295.015,217.269,281.065,221.623,268.086,223.616,351.204,212.454,364.165,205.888,378.122,205.957,391.041,210.356,379.038,215.022,364.869,214.98,291.046,321.025,305.147,309.737,318.781,301.982,330.445,303.652,340.641,300.134,354.523,305.464,370.106,314.316,355.361,322.867,342.81,326.339,331.13,328.404,319.128,328.629,306.214,327.915,297.988,320.375,319.442,314.879,330.964,314.482,342.006,313.173,362.627,314.418,340.898,310.558,329.772,312.304,318.453,312.95
4,235.553,198.538,246.418,181.824,266.623,176.409,287.54,178.282,307.179,185.369,332.489,183.414,352.198,171.793,374.695,166.163,397.668,168.957,413.288,183.931,321.653,206.904,323.23,225.154,324.751,242.683,326.127,260.931,307.286,281.674,317.95,282.873,328.396,283.748,338.458,281.293,348.695,278.575,256.832,220.355,267.574,213.562,281.311,211.901,296.382,217.585,282.339,222.369,268.436,224.082,352.068,213.049,365.371,205.299,379.98,204.983,392.776,209.525,381.069,215.078,366.302,215.555,291.714,319.938,305.348,309.476,319.32,301.807,330.142,304.089,339.164,300.259,353.371,305.512,369.792,314.021,354.263,323.058,341.55,327.298,330.964,329.512,319.748,329.755,306.229,328.32,298.745,319.529,320.106,314.584,330.614,314.222,340.522,312.891,362.139,314.278,339.558,311.199,329.501,312.971,319.099,313.501
5,236.829,198.441,247.795,181.626,268.189,176.748,288.672,179.18,307.544,186.443,331.541,184.326,351.073,172.531,373.711,166.043,396.917,168.409,412.285,183.958,321.834,207.019,323.134,225.116,324.373,242.754,325.449,261.157,306.918,282.488,317.938,283.447,328.371,284.571,338.48,281.789,348.7,279.641,258.238,221.761,268.014,215.016,281.904,213.085,296.953,218.647,283.134,223.728,269.151,225.651,351.667,214.072,365.039,206.5,379.606,206.128,392.433,211.015,380.8,216.824,365.816,216.942,291.547,320.873,304.629,310.156,318.619,302.413,329.484,304.652,338.821,301.087,352.384,306.492,368.187,315.189,353.108,324.272,340.966,328.247,330.241,330.047,319.002,330.155,305.509,328.93,297.993,320.503,319.442,315.561,330.089,315.135,340.203,313.943,360.397,315.607,339.099,311.952,328.877,313.558,318.397,313.945
6,234.705,199.324,246.233,182.617,266.824,176.895,287.25,178.653,306.713,185.43,333.248,183.611,352.742,172.684,375.146,167.259,399.081,170.247,416.042,185.11,322.221,207.183,323.756,225.795,325.038,243.77,326.32,262.189,306.664,282.165,317.829,283.604,328.615,284.515,339.29,281.495,349.562,278.557,255.823,220.125,266.737,213.73,280.264,212.277,295.169,217.949,281.268,222.589,267.621,224.104,352.577,213.352,366.154,205.039,380.679,205.068,393.786,209.96,381.721,215.681,366.981,215.83,291.994,320,305.906,309.505,319.752,301.996,330.846,304.312,340.585,300.581,355.137,305.475,370.421,313.503,355.934,323.223,343.086,326.821,331.944,328.774,320.382,328.921,307.142,327.904,298.719,319.151,320.498,314.612,331.473,314.606,341.839,313.226,362.24,313.721,341.25,311.601,330.775,313.165,319.951,313.339
7,235.834,199.298,246.619,181.567,267.934,176.324,289.264,178.478,309.399,185.478,331.278,183.467,352.694,172.012,376.428,166.602,401.003,169.564,417.164,186.445,323.004,206.639,324.187,224.599,325.378,242.015,326.423,260.252,308.107,281.998,318.85,283.063,328.929,283.654,339.699,281.204,350.296,278.646,259.181,220.642,269.549,213.277,283.858,211.186,299.138,217.718,285.177,222.027,270.883,224.025,352.467,213.315,365.897,204.956,380.837,204.853,394.197,210.204,382.002,215.107,366.923,215.366,292.029,319.968,305.989,309.273,320.581,302.142,331.434,304.146,341.685,300.492,355.818,305.284,371.705,313.823,356.767,322.871,343.747,327.481,332.265,329.59,320.766,329.9,306.859,328.792,298.538,319.269,321.354,314.391,332.053,314.299,343.074,312.52,364.119,313.738,341.986,311.324,330.876,313.085,320.215,313.646
8,236.61,197.997,246.541,180.919,266.766,176.118,286.847,178.103,306.342,184.28,333.324,183.771,352.695,172.439,374.959,166.385,397.91,169.454,412.088,186.074,321.392,205.237,322.787,223.739,324.105,241.71,325.414,260.138,306.635,281.546,317.186,283.041,327.667,284.112,337.846,281.364,348.358,278.204,257.602,219.226,267.57,211.087,282.119,208.945,296.977,216.572,283.12,221.834,268.442,223.698,350.633,212.342,363.456,202.715,378.6,202.57,391.351,209.5,379.971,215.457,364.477,215.411,291.038,321.108,303.857,310.098,318.254,302.158,329.057,304.437,338.538,300.689,353.015,306.218,368.503,315.77,354.396,324.631,341.115,329.002,330.18,330.884,319.07,331,305.43,329.382,298.037,320.502,319.057,315.665,329.822,315.277,340.073,314.155,360.868,315.813,339.28,312.493,328.968,314.094,318.478,314.341
9,234.016,198.549,245.746,181.716,266.715,176.088,287.962,178.07,307.73,184.571,333.528,182.018,353.357,171.399,375.523,165.589,398.806,168.858,413.068,183.93,321.89,205.021,323.764,223.596,325.554,241.578,327.31,260.485,307.782,280.618,318.378,282.253,328.405,283.317,338.579,280.742,348.81,277.778,254.51,218.376,265.459,210.098,280.361,208.317,295.42,216.382,281.346,221.58,266.273,223.377,351.757,211.779,364.59,201.468,380.1,201.359,393.483,207.711,381.686,214.227,365.969,214.617,292.432,320.996,305.54,309.039,319.621,301.156,329.565,303.442,338.674,299.903,352.5,305.586,367.604,315.456,353.298,324.125,340.528,327.75,330.198,329.713,319.611,329.96,306.534,328.569,299.007,320.348,320.373,314.982,330.308,314.657,339.988,313.495,360.181,315.414,338.81,311.507,328.975,313.403,319.127,313.96
10,234.132,201.68,244.003,183.135,264.564,176.45,285.349,178.309,305.618,184.358,330.433,182.35,350.744,171.41,373.681,165.656,397.116,168.751,412.124,185.183,320.169,205.745,321.65,223.797,322.966,241.376,324.197,259.512,306.47,280.823,316.842,281.783,327.005,282.621,337.426,279.823,347.972,276.858,257.196,220.161,266.815,211.666,281.362,209.199,296.512,216.694,282.726,222.057,268.152,224.196,349.52,211.92,362.032,202.322,377.499,202.129,390.483,208.879,378.96,214.625,363.466,214.76,292.342,321.026,304.782,309.421,318.857,301.433,329.391,303.383,338.508,299.781,352.7,304.82,368.443,313.918,353.954,322.038,340.989,325.962,330.64,327.971,319.831,328.529,306.437,327.741,299.028,319.995,319.807,314.414,330.255,314.009,340.074,312.717,361.269,314.084,339.053,310.105,329.138,311.776,319.023,312.564
11,235.693,199.269,246.648,181.159,267.618,176.565,288.484,178.774,308.061,186.438,333.839,182.854,353.772,171.507,376.019,165.918,399.114,169.019,413.538,185.695,322.062,207.078,323.072,225.794,323.988,243.639,324.943,262.16,306.49,282.202,316.793,283.283,327.233,284.178,337.999,281.306,348.67,278.205,257.856,220.356,268.448,212.692,282.792,210.922,297.515,217.953,283.676,222.329,269.141,224.192,351.381,213.672,365.095,204.693,380.034,204.128,392.913,209.852,381.358,215.449,366.003,215.852,290.327,320.152,304.085,309.535,318.98,301.857,329.723,303.566,338.958,299.874,353.633,304.688,368.938,313.461,354.662,322.581,341.566,327.188,331.037,329.337,319.853,329.637,305.685,328.826,297.331,319.459,319.654,314.711,330.324,314.25,340.192,312.585,361.594,313.516,339.858,311.661,329.858,313.523,319.255,314.403
12,233.909,199.882,244.583,182.007,265.236,176.014,286.471,177.832,307.256,184.254,331.815,182.511,352.519,171.395,376.035,165.877,400.073,168.967,415.811,184.948,321.919,205.622,323.343,223.896,324.647,241.609,325.919,260.128,307.093,280.53,317.56,281.817,327.808,282.641,338.519,280.116,349.261,277.496,257.316,218.399,267.947,210.871,282.21,208.931,296.871,216.106,282.902,221.009,268.44,222.707,351.563,211.408,364.185,202.499,379.285,202.285,392.7,208.092,380.717,213.865,365.316,214.235,291.469,319.552,305.103,308.996,319.036,301.421,330.171,303.594,339.882,299.747,353.779,304.657,369.625,314.009,354.676,322.62,341.895,326.833,330.741,328.913,319.145,329.123,305.958,327.565,298.033,318.812,319.589,313.926,330.677,313.558,341.154,311.828,361.996,313.75,340.256,311.327,329.792,313.264,318.735,313.648
13,235.94,200.279,246.081,182.365,266.953,176.711,288.629,178.401,308.676,186.292,331.809,183.382,351.359,171.74,373.949,166.441,397.529,169.901,412.719,186.052,322.506,207.017,323.891,224.971,325.285,242.353,326.444,260.358,307.389,281.069,318.252,282.559,328.727,284.004,339.345,280.973,349.665,278.136,258.173,221.095,268.636,214.313,282.342,212.522,297.254,218.054,283.854,222.725,269.757,224.733,351.504,213.379,365.031,205.717,379.568,205.733,391.963,211.17,380.496,216.01,365.896,216.007,291.118,320.635,305.207,309.267,319.628,301.528,330.747,303.78,340.551,300.041,354.482,305.398,369.614,314.123,354.951,323.017,342.526,326.927,331.459,329.236,319.926,329.33,306.103,328.575,297.742,319.978,320.476,314.445,331.539,314.135,342.146,312.735,362.035,314.443,340.81,311.253,330.102,312.947,319.288,313.659
14,235.847,199.479,246.923,182.307,267.446,177.219,288.958,179.208,309.108,186.325,335.679,183.036,354.822,171.393,377.709,165.946,401.264,169.624,415.938,184.978,323.817,206.466,324.981,225.082,325.864,243.188,326.816,262.086,307.317,281.636,318.388,283.164,328.891,284.104,339.469,281.462,350.042,278.784,257.229,219.583,269.215,213.74,283.261,212.385,298.78,217.545,284.242,221.706,269.942,223.139,354.25,213.055,368.596,205.728,383.348,205.971,396.59,210.431,384.184,215.218,369.151,215.262,292.123,320.571,305.722,308.863,320.226,301.125,330.863,303.323,340.811,299.868,355.15,305.492,371.584,315.022,355.899,324.198,342.85,328.216,331.6,330.323,320.505,330.499,306.525,329.06,298.929,320.072,320.943,314.614,331.444,314.077,342.098,312.984,363.093,315.262,341.077,311.812,330.456,313.61,320.119,314.343
15,235.737,199.38,246.003,182.098,266.244,176.477,286.679,177.867,306.5,184.639,333.131,183.199,352.536,172.067,374.547,166.127,397.55,169.045,412.867,185.002,322.552,205.857,324.259,224.168,325.846,241.762,327.574,259.868,307.336,280.83,318.384,281.896,328.609,282.643,339.142,280.073,349.551,277.541,256.157,218.335,267.245,211.149,280.841,209.207,295.09,215.857,281.944,219.956,268.089,221.584,351.649,211.818,364.67,203.192,379.005,203.108,391.541,208.874,380.171,213.848,365.656,213.906,293.009,319.827,306.076,308.472,319.998,300.64,330.845,302.81,340.574,299.066,355.025,304.621,369.876,313.811,355.729,323.036,343.029,327.592,331.923,329.655,320.444,329.74,307.455,327.849,299.622,319.235,320.658,313.936,331.427,313.806,341.843,312.154,362.343,313.804,341.193,311.869,330.619,313.387,319.937,313.83
16,235.224,199.29,245.788,181.307,266.911,175.749,288.283,177.997,308.67,185.478,331.711,183.383,351.917,171.538,375.739,165.691,400.103,168.948,414.788,185.935,322.497,206.539,323.638,224.286,324.782,241.332,325.964,259.257,306.955,281.101,317.798,282.344,328.413,283.128,339.191,280.513,350.054,277.634,258.625,219.238,268.773,211.309,283.141,209.517,298.267,217.364,284.101,222.139,269.468,223.692,351.913,213.375,365.1,203.297,380.361,202.906,393.456,209.5,381.795,215.498,366.043,215.866,291.656,319.383,305.995,308.308,320.024,300.501,330.644,302.668,339.914,299,354.103,304.381,370.498,313.813,354.984,321.875,342.251,325.503,331.607,327.253,320.607,327.562,307.129,326.915,298.656,318.696,320.696,313.509,331.191,313.088,341.128,311.855,362.833,313.882,340.407,310.192,330.342,311.515,319.935,311.892
17,234.438,200.65,246.041,182.648,267.857,176.725,290.011,179.216,310.585,186.679,331.726,184.853,352.085,172.739,375.743,166.976,399.828,170.092,415.549,186.22,323.133,206.242,324.563,225.3,325.905,243.79,327.401,263.025,307.61,281.977,318.453,283.79,328.958,285.026,339.43,282.052,349.829,279.154,256.694,219.327,267.496,212.797,281.562,211.068,296.643,217.112,282.508,221.71,268.243,223.241,352.48,213.104,365.816,205.006,380.689,204.847,393.803,209.931,381.678,215.401,366.636,215.662,290.823,320.262,304.776,309.543,319.115,302.36,330.549,304.318,340.849,300.761,355.044,305.747,370.661,314.377,355.984,323.827,343.021,328.111,331.443,330.308,319.447,330.502,305.956,328.746,297.387,319.772,319.887,315.189,331.16,314.791,342.198,313.117,363.33,314.564,341.225,312.602,329.942,314.544,318.948,315.225
18,234.274,200.159,245.357,183.526,265.306,176.849,286.21,178.566,306.525,185.358,334.343,182.292,353.375,171.104,375.357,165.86,398.592,169.429,413.5,184.977,321.929,206.687,323.573,225.066,325.169,242.627,326.629,261.127,307.927,281.791,318.651,282.832,328.819,283.799,339.458,280.871,349.605,277.672,255.855,221.398,266.76,214.192,280.47,212.597,294.687,219.122,281.408,223.589,267.476,225.271,351.352,213.96,364.383,205,378.814,204.895,391.761,209.923,380.195,215.552,365.488,216.137,292.799,320.995,305.849,308.789,320.249,301.289,330.322,303.576,339.408,299.88,353.712,304.782,369.75,314.317,354.93,322.789,341.955,326.968,331.576,328.977,320.957,329.199,307.059,327.91,299.965,319.769,321.007,314.468,331.06,314.065,340.815,312.766,362.362,314.118,340.089,311.148,330.183,312.71,320.282,312.992
19,235.805,199.959,247.236,182.452,268.332,177.634,289.573,180.229,309.39,187.804,331.61,184.918,351.17,172.382,374.328,166.257,397.613,169.118,413.36,184.961,322.26,207.58,323.531,225.509,324.797,242.869,325.973,260.855,307.454,282.043,318.331,282.83,328.736,283.476,339.026,280.972,349.322,278.511,259.142,221.254,269.326,214.621,282.983,212.846,297.703,218.34,284.031,223.118,270.412,224.935,351.319,213.907,364.218,205.985,378.642,205.428,391.624,210.075,380.237,215.709,365.362,216.36,292.195,319.029,306.097,308.886,320,301.466,330.922,303.476,340.32,299.879,354.655,305.291,370.485,312.876,355.787,322.078,342.663,325.573,331.78,327.411,320.63,327.724,307.004,326.578,298.588,318.912,320.86,314.491,331.644,314.075,341.963,312.658,363.433,313.576,340.669,310.032,330.156,311.246,319.81,311.88
20,235.222,198.532,246.561,181.163,267.49,176.191,288.538,178.146,308.587,185.173,333.426,183.097,353.505,171.841,376.547,166.126,400.355,169.626,415.176,185.776,323.283,205.901,324.946,224.616,326.621,242.686,328.282,261.466,307.559,281.406,318.874,282.698,329.497,283.751,339.886,281.02,350.389,278.353,256.23,218.471,267.125,211.452,281.234,210.197,296.409,216.785,282.035,221.749,267.768,223.233,352.484,212.87,365.467,204.065,380.397,203.991,393.674,209.542,381.972,215.615,366.807,215.908,292.164,320.169,306.087,309.161,319.934,301.674,331.261,303.684,340.95,300.206,355.158,305.637,369.905,315.095,355.778,323.598,343.066,327.554,332.101,329.23,320.294,329.184,307.271,327.966,298.617,319.596,320.418,314.691,331.729,314.346,342.111,312.955,361.962,314.955,341.31,312.047,330.819,313.531,319.774,314.035
21,237.416,201.813,247.278,183.132,268.06,177.432,289.488,179.067,309.861,186.147,334.561,183.329,354.621,171.888,377.037,166.635,400.038,170.144,414.776,185.854,323.989,208.116,325.317,225.613,326.478,242.546,327.741,260.194,308.462,282.176,319.355,283.005,329.62,284.008,340.28,281.3,350.807,278.72,259.837,221.697,270.464,214.982,284.715,213.062,299.519,219.264,285.674,223.261,271.397,224.873,352.623,214.67,365.887,205.652,380.888,205.14,394.218,210.682,382.415,215.782,367.134,216.434,293.104,319.959,306.605,309.019,320.943,301.448,331.206,303.429,341.712,299.777,355.796,304.989,371.304,314.257,356.376,324.001,343.365,328.001,331.963,329.963,321.298,330.177,307.821,328.762,299.752,319.475,321.657,314.697,331.876,314.289,343,312.898,363.424,314.647,341.783,312.388,330.722,314.02,320.678,314.575
