time,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16,x17,y17,x18,y18,x19,y19,x20,y20,x21,y21,x22,y22,x23,y23,x24,y24,x25,y25,x26,y26,x27,y27,x28,y28,x29,y29,x30,y30,x31,y31,x32,y32,x33,y33,x34,y34,x35,y35,x36,y36,x37,y37,x38,y38,x39,y39,x40,y40,x41,y41,x42,y42,x43,y43,x44,y44,x45,y45,x46,y46,x47,y47,x48,y48,x49,y49,x50,y50,x51,y51
1,252.703,206.77,262.189,193.978,277.362,189.253,294.079,191.133,309.484,197.099,332.996,195.859,349.722,187.006,368.758,183.338,388.04,186.778,402.318,199.197,322.536,217.936,322.536,230.983,322.42,243.695,322.436,257.208,308.348,275.355,316.378,276.611,324.358,277.264,333.057,275.834,341.693,274.039,270.599,224.294,278.783,219.209,289.629,219.159,300.033,224.984,289.416,227.731,278.535,228.171,350.1,222.173,360.355,215.651,371.904,215.581,381.862,220.183,372.366,224.412,360.796,224.604,297.639,308.715,306.504,298.226,317.621,291.511,325.374,293.221,332.978,290.867,345.204,296.117,358.76,305.565,345.698,310.889,334.609,312.84,326.336,313.741,318.07,313.77,307.398,313.233,303.109,307.913,317.949,302.618,325.787,302.701,333.759,301.858,352.765,304.805,333.599,300.446,325.734,301.502,318.088,301.733
2,254.966,206.971,262.813,193.16,278.475,188.233,295.381,190.211,311.014,196.241,335.724,194.467,351.647,185.515,370.606,181.418,389.448,185.02,402.512,197.575,324.101,216.983,324.119,230.206,324.13,243.104,324.237,256.748,309.763,274.878,317.646,276.204,325.898,276.729,334.283,275.587,342.78,273.797,271.547,224.076,279.996,218.767,290.729,218.325,301.254,223.908,290.826,226.645,280.166,227.221,351.681,221,362.126,214.36,373.437,214.072,383.517,218.956,374.068,222.876,362.613,223.104,298.2,308.181,307.681,297.534,318.525,291.018,326.816,292.876,334.312,290.254,346.13,295.719,359.529,305.776,346.705,310.621,335.81,311.926,327.615,312.769,318.866,312.599,308.591,312.182,303.52,306.997,318.944,301.229,327.295,301.411,335.221,300.562,353.257,304.728,334.992,301.066,326.98,301.886,318.769,301.898
3,254.046,209.217,262.146,195.033,278.286,189.639,295.523,190.636,311.591,197.283,335.071,195.293,352.418,186.208,372.674,183.169,391.97,187.698,404.292,201.973,324.377,217.459,324.352,230.535,324.237,243.429,324.221,257.269,310.21,275.683,318.258,276.855,326.704,277.742,335.215,275.84,343.862,273.673,271.166,224.382,279.796,219.2,290.972,218.764,301.889,224.47,291.053,227.779,279.926,228.471,351.562,221.517,362.256,214.686,374.082,214.416,384.18,219.225,374.771,223.906,362.638,224.117,297.397,308.185,307.856,298.069,319.626,291.806,328.064,293.643,335.697,290.811,347.452,295.955,360.798,304.697,348.222,309.976,337.345,312.553,329.04,313.759,319.987,313.912,308.699,313.004,302.716,307.041,319.919,302.208,328.556,302.414,336.544,301.272,354.697,303.825,336.452,300.772,328.448,301.83,319.91,301.87
4,254.869,207.318,263.483,193.342,280.091,188.81,297.142,190.795,312.621,197.654,333.382,195.697,351.03,186.409,371.144,182.612,390.545,186.941,403.498,200.604,324.086,217.509,324.004,230.637,323.95,243.62,323.998,257.316,309.768,275.855,317.763,276.905,325.93,277.339,334.473,275.917,343.119,274.118,271.36,224.299,280.125,218.951,291.227,218.952,301.546,225.123,290.984,228,280.024,228.433,351.276,222.073,361.397,214.839,373.067,214.425,383.348,219.254,373.85,223.803,361.887,224.249,297.308,307.5,307.201,297.288,318.361,291.026,326.742,292.787,335.113,290.154,347.29,295.456,360.921,304.201,347.782,310.12,336.689,313.198,327.58,314.334,318.399,314.075,307.703,312.636,302.161,306.598,318.58,302.005,327.135,302.217,335.928,301.08,354.807,303.657,335.905,300.982,327.21,302.15,318.541,301.947
5,255.398,208.127,263.74,193.856,279.875,189.135,296.582,191.045,312.383,197.395,332.909,195.462,350.911,186.412,371.125,182.626,390.903,186.934,404.764,200.521,324.052,216.295,324.192,229.219,324.283,242.053,324.453,255.728,310.34,274.381,318.543,275.273,326.657,275.937,335.096,274.509,343.721,272.889,272.179,224.452,280.362,219.146,290.942,218.757,301.702,223.906,290.96,227,280.647,227.751,352.097,221.021,361.844,214.778,373.373,214.779,383.988,219.59,373.896,223.202,362.17,223.319,298.439,307.662,307.967,297.117,319.435,290.204,327.526,292.354,334.91,289.556,347.293,295.08,361.177,304.585,347.498,310.506,336.318,313.264,328.104,314.165,319.593,313.938,308.872,312.434,303.685,306.914,319.817,301.289,327.962,301.352,335.847,300.466,354.619,303.808,335.333,300.958,327.448,302.028,319.383,301.916
6,254.005,207.505,262.37,193.695,277.855,188.065,295.131,189.945,311.1,196.29,334.06,195.09,350.744,185.694,370.23,181.742,389.553,185.833,403.956,198.086,324.182,216.801,324.101,229.659,323.934,242.41,323.9,255.94,309.608,274.474,317.694,276.105,325.914,276.865,334.725,275.299,343.821,273.22,271.282,223.53,280.146,218.648,291.12,218.579,301.714,224.121,291.128,226.808,280.203,227.325,351.524,221.095,362.07,214.499,373.617,214.278,384.077,218.947,374.396,223.005,362.54,223.375,298.652,307.028,308.465,296.786,319.245,290.43,327.047,292.106,334.843,289.792,347.091,295.251,360.744,304.708,347.841,309.643,336.907,311.523,328.385,312.454,319.907,312.399,309.362,311.8,304.176,306.285,319.603,301.039,327.426,301.297,335.694,300.651,354.254,303.854,335.969,299.882,327.627,300.619,319.968,300.628
7,253.558,205.041,264.046,192.912,280.22,188.334,296.713,189.696,311.853,196.178,336.107,193.805,352.727,184.967,371.575,182.169,390.205,186.009,403.278,198.295,325.429,217.846,325.293,230.488,325.272,243.093,325.334,256.241,310.568,275.251,318.767,276.339,326.896,276.589,335.252,275.476,343.591,273.919,271.332,224.302,280.018,218.708,291.295,218.341,301.913,224.48,291.3,227.289,280.075,227.972,351.524,221.474,361.69,214.405,373.411,214.119,383.631,219.476,374.186,223.679,362.306,223.801,297.255,307.322,307.803,297.298,319.655,290.564,327.525,292.424,335.332,289.851,347.794,295.627,360.848,304.224,348.138,310.269,336.805,313.056,328.236,314.075,319.67,313.608,308.518,312.104,302.943,306.574,319.873,301.912,327.897,301.952,336.066,301.086,354.668,303.775,335.917,300.324,327.65,301.35,319.756,301.194
8,255.834,208.163,263.824,193.851,279.89,188.601,297.024,190.387,312.476,197.524,334.681,195.414,351.309,185.495,371.02,181.643,390.431,186.029,402.765,200.261,324.828,216.163,324.833,229.555,324.87,242.685,324.968,256.744,310.186,274.436,318.305,276.034,326.628,276.969,335.265,275.248,343.993,273.372,272.439,224.038,280.69,218.94,291.331,218.477,301.878,223.976,291.57,226.93,280.927,227.675,352.341,220.78,362.44,214.272,373.729,213.941,383.742,218.609,374.503,222.926,363.04,223.129,298.93,307.123,308.819,297.424,319.757,291.374,327.782,293.509,335.574,290.796,347.35,296.22,361.065,303.741,347.9,309.443,336.921,311.408,328.548,312.312,319.869,311.969,309.095,311.108,303.967,306.163,320.079,301.409,328.102,301.803,336.398,300.699,354.858,303.39,335.957,299.751,327.788,300.804,319.693,300.528
9,256.243,207.962,264.515,193.9,280.781,188.616,297.868,191.032,313.347,198.214,334.236,195.875,351.508,186.154,371.361,182.185,391.234,186.372,404.848,199.549,325.51,216.793,325.389,229.652,325.245,242.463,325.177,256.051,311.065,274.004,319.031,275.547,327.102,276.033,335.766,274.899,344.216,273.358,272.912,223.861,281.171,218.869,291.645,218.589,302.374,224.138,291.809,227.034,281.216,227.638,353.096,221.226,362.74,214.374,373.933,214.266,384.182,218.967,374.831,223.05,363.448,223.324,299.278,307.477,309.124,297.571,319.65,290.903,327.422,293.019,335.392,290.537,347.254,296.337,361.175,304.913,348.121,310.423,337.314,312.361,328.645,313.017,320.252,312.754,309.991,311.525,304.348,306.529,319.958,301.518,327.848,301.835,336.309,301.051,355.079,304.269,336.339,300.233,327.909,301.397,320.145,301.037
10,254.286,209.207,263.11,194.246,280.554,188.199,298.697,189.821,314.724,196.904,334.06,196.424,351.22,185.779,371.98,181.975,392.527,186.03,406.27,200.526,325.944,218.318,325.934,231.052,325.92,243.837,325.913,257.367,311.02,275.005,319.175,276.499,327.567,277.238,336.58,275.963,345.282,273.893,272.64,224.424,281.656,218.776,292.579,218.629,303.41,225.161,292.21,228.002,281.272,228.092,352.423,222.548,362.653,215.023,374.213,214.505,384.709,219.45,375.292,223.985,363.27,224.522,297.852,308.458,307.918,298.082,319.709,291.201,328.034,293.163,335.927,290.753,347.678,296.374,361.377,305.711,348.072,311.719,337.115,313.968,328.422,314.925,319.311,314.766,308.54,314.063,303.331,307.735,319.869,302.301,328.374,302.503,336.646,301.776,355.167,305.176,336.425,301.888,328.074,302.975,319.536,302.994
