time,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16,x17,y17,x18,y18,x19,y19,x20,y20,x21,y21,x22,y22,x23,y23,x24,y24,x25,y25,x26,y26,x27,y27,x28,y28,x29,y29,x30,y30,x31,y31,x32,y32,x33,y33,x34,y34,x35,y35,x36,y36,x37,y37,x38,y38,x39,y39,x40,y40,x41,y41,x42,y42,x43,y43,x44,y44,x45,y45,x46,y46,x47,y47,x48,y48,x49,y49,x50,y50,x51,y51
1,259.897,222.067,270.173,207.541,288.781,203.192,307.659,205.567,324.894,213.219,343.873,212.227,361.961,202.508,382.511,197.982,404.242,200.159,418.282,214.513,335.889,231.291,336.521,246.581,337.344,261.372,338.044,276.623,321.53,294.988,330.918,296.873,339.666,298.282,348.741,295.901,357.375,293.285,279.525,241.887,288.52,235.446,300.859,234.263,313.355,240.29,301.53,244.169,289.058,245.476,361.906,237.349,374.076,230.206,387.151,230.887,398.481,236.029,387.701,240.436,374.458,240.388,307.803,330.279,319.421,319.081,330.985,312.711,339.875,314.948,348.308,312.064,360.815,317.195,374.493,326.534,361.318,333.09,350.042,335.879,340.981,337.072,332.016,337.27,320.672,336.693,313.779,329.313,331.917,324.31,340.511,324.285,349.276,323.384,367.848,326.076,348.665,322.389,339.957,323.624,331.595,323.815
2,260.593,223.14,269.989,207.624,288.862,203.239,307.812,205.668,325.171,212.709,344.806,211.748,363.158,202.576,383.373,198.467,404.417,200.566,418.453,214.543,336.088,231.313,336.389,246.658,336.782,261.79,337.006,277.292,320.673,294.958,329.659,296.443,338.519,297.713,347.88,295.618,357.165,293.659,279.228,241.718,287.916,235.257,300.52,234.104,313.236,239.886,300.963,243.718,288.632,245.417,362.004,236.857,374.397,229.281,387.967,229.752,399.979,235.057,388.655,239.985,374.861,239.636,306.973,329.267,319.341,318.501,330.898,312.217,339.609,314.646,347.404,311.828,359.902,317.065,374.652,326.538,359.875,335.073,348.232,336.681,339.758,337.395,330.728,337.103,319.312,336.064,313.091,328.748,331.493,323.695,340.038,323.827,348.322,322.979,367.964,326.202,347.381,323.013,339.238,323.846,330.864,323.941
3,260.213,222.326,268.932,206.869,287.857,202.642,306.937,205.12,324.189,212.347,343.438,210.857,362.924,201.685,384.131,197.482,405.913,200.268,420.059,214.72,335.393,230.739,335.77,246.135,336.144,261.093,336.473,276.444,320.064,294.38,329.592,296.194,338.52,297.426,347.839,295.051,356.959,292.686,279.017,240.881,288.332,234.323,301.121,233.286,314.262,239.46,301.601,243.155,288.726,244.596,361.545,236.873,374.51,229.288,388.005,229.788,399.547,235.08,388.589,239.819,374.635,239.628,307.434,329.807,318.898,318.743,330.019,312.169,339.047,314.572,347.921,311.521,360.411,316.525,374.71,326.409,360.44,332.998,349.067,335.447,339.388,336.721,330.182,336.677,319.34,335.654,313.333,328.884,330.626,323.917,339.511,323.806,348.866,322.962,367.713,325.866,348.003,322.22,338.809,323.469,329.987,323.655
4,261.338,221.939,270.389,206.927,289.1,202.52,307.758,205.572,325.417,212.428,347.007,210.415,365.198,201.402,385.693,197.158,406.602,200.958,419.854,215.135,335.767,230.243,336.03,245.87,336.265,260.851,336.49,276.468,320.342,294.262,329.28,295.997,337.905,297.418,347.31,295.128,356.738,292.963,279.296,239.758,288.613,233.273,301.329,232.138,313.599,238.858,301.607,242.99,288.886,244.225,362.55,236.461,374.911,228.537,388.708,228.917,400.095,234.616,389.439,239.885,375.284,239.643,307.507,329.643,319.613,319.194,331.079,312.495,339.375,315.032,347.369,311.873,360.308,317.575,373.722,326.779,360.523,333.473,348.998,336.852,339.943,337.859,331.234,337.687,320.178,336.729,314.081,329.238,331.479,324.454,339.774,324.45,348.267,323.758,366.576,326.418,347.916,322.626,339.267,323.536,331.185,323.525
5,259.912,221.818,269.965,206.648,288.19,202.798,306.501,205.424,324.175,212.519,346.055,211.857,363.208,202.234,383.166,197.712,404.027,199.771,417.413,213.863,335.93,231.907,336.52,247.855,337.023,263.202,337.58,278.83,321.079,295.465,330.128,297.078,338.75,298.373,347.681,296.117,356.81,294.134,278.762,241.016,287.913,235.376,299.778,234.658,312.053,240.167,300.145,244.057,288.219,245.147,362.581,237.685,374.466,230.923,387.188,231.123,398.409,235.74,387.831,240.751,374.976,240.901,307.601,329.934,318.721,319.273,330.477,312.469,339.366,314.984,347.256,312.048,359.96,317.491,372.939,327.143,360.001,334.571,348.578,337.177,339.704,338.424,330.538,338.336,319.13,337.737,313.435,329.361,331.133,324.635,339.755,324.786,348.087,324.157,366.113,326.484,347.478,322.97,339.069,324.06,330.556,324.187
6,259.125,224.338,268.212,208.485,286.58,203.136,305.551,205.918,323.413,212.835,346.056,212.029,363.493,202.413,383.324,197.456,404.435,201.174,417.631,216.486,335.619,231.282,336.206,246.656,336.646,261.602,337.155,277.088,320.334,295.434,329.347,296.872,337.992,298.351,347.427,295.826,356.681,293.922,279.002,241.313,288.222,235.787,300.311,234.764,311.991,240.122,300.643,244.171,288.564,245.357,362.502,237.249,374.458,230.801,387.121,231.222,397.767,236.007,387.51,240.863,374.622,240.635,306.986,330.123,318.794,319.638,330.523,313.15,339.339,315.395,347.833,312.565,360.381,317.714,374.127,327.593,360.78,334.229,349.427,336.878,340.217,337.928,331.119,337.921,319.379,337.113,312.791,329.318,331.045,324.803,339.811,324.721,348.591,324.074,367.697,326.838,348.297,323.068,339.525,324.163,331.02,324.151
7,260.028,221.893,269.89,206.844,288.705,202.89,307.557,205.302,325.105,213.28,345.033,212.207,363.551,202.369,384.37,198.314,405.744,200.811,419.824,215.409,336.194,232.267,336.668,247.837,337.13,262.902,337.57,278.446,320.621,295.375,329.848,296.964,338.559,298.216,348.213,295.989,357.525,293.611,279.161,240.732,289.031,234.955,301.215,234.079,313.537,239.967,301.601,243.673,289.249,244.815,362.63,237.736,375.046,231.15,387.926,231.511,399.213,236.205,388.46,240.907,375.256,240.757,307.266,329.678,318.786,319.309,330.971,312.815,339.56,315.209,347.505,312.364,360.093,317.708,373.35,326.971,360.146,334.794,348.855,338.199,339.857,339.254,330.949,339.153,319.635,337.702,313.622,329.384,331.378,324.598,339.825,324.611,348.274,323.934,366.339,326.715,347.746,323.311,339.186,324.534,331.017,324.697
8,258.729,223.052,268.732,207.495,288.349,202.683,307.99,205.231,325.845,213.167,346.586,211.728,364.659,202.132,385.09,197.708,406.448,201.123,420.328,215.007,336.154,231.131,336.732,246.383,337.274,261.573,337.93,277.024,320.485,295.478,329.941,296.963,338.757,298.176,348.335,296.006,357.428,293.618,278.527,241.647,287.917,235.003,300.506,233.981,313.269,240.573,301.053,244.011,288.256,245.263,362.774,237.683,375.312,229.951,388.574,230.679,399.889,236.215,388.989,240.614,375.436,240.424,307.622,330.469,319.836,320.497,330.936,313.758,339.487,315.78,347.398,313.075,360.045,318.25,373.978,328.2,360.339,334.967,348.744,337.179,339.951,338.083,330.961,338.086,320.595,337.197,313.937,329.936,331.503,325.826,339.912,325.845,348.346,325.016,367.028,327.761,347.616,323.38,339.211,324.218,330.837,324.379
9,257.179,223.634,268.124,208.659,287.061,203.001,306.325,205.454,324.766,212.099,345.321,210.986,363.106,201.467,383.314,196.889,404.522,199.782,417.785,214.463,336.017,230.968,336.53,245.812,336.979,260.354,337.504,275.573,320.74,294.301,329.856,295.567,338.436,296.664,347.764,294.922,356.722,292.741,277.487,240.772,287.251,234.879,299.281,233.979,311.833,239.946,299.5,243.559,287.302,244.582,361.878,237.3,373.745,229.826,386.566,230.079,397.99,234.962,387.359,240.006,374.374,240.13,307.026,330.099,319.06,319.626,331.152,312.523,339.364,314.961,346.787,311.936,359.19,317.5,373.063,327.297,359.671,334.089,348.335,336.947,339.847,338.114,331.153,338.443,319.793,337.652,313.617,329.394,331.522,324.268,339.784,324.242,347.659,323.658,366.136,326.749,347.289,323.305,339.363,324.383,331.213,324.542
10,261.106,221.034,270.821,205.768,289.54,201.819,307.504,204.474,324.663,210.872,345.704,209.306,363.795,200.429,384.191,195.99,405.098,197.977,418.433,212.546,335.981,229.589,336.205,244.891,336.522,259.719,336.871,275.164,320.161,294.293,329.519,295.845,338.481,296.956,347.838,294.762,356.691,292.604,278.677,240.099,287.416,233.4,300.147,232.143,313.361,237.871,301.251,242.035,288.409,243.744,362.25,234.994,374.809,227.225,388.381,227.782,400.218,233.237,389.092,238.146,375.276,237.938,307.501,332.375,318.528,320.935,329.652,313.865,338.602,316.247,347.086,313.276,359.794,318.67,373.431,328.023,360.708,337.911,349.352,341.561,339.779,342.948,330.469,342.944,319.2,341.697,313.881,331.472,330.285,326.18,339.053,326.12,347.996,325.016,366.372,327.933,347.881,325.683,339.011,327.177,330.36,327.329
