time,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16,x17,y17,x18,y18,x19,y19,x20,y20,x21,y21,x22,y22,x23,y23,x24,y24,x25,y25,x26,y26,x27,y27,x28,y28,x29,y29,x30,y30,x31,y31,x32,y32,x33,y33,x34,y34,x35,y35,x36,y36,x37,y37,x38,y38,x39,y39,x40,y40,x41,y41,x42,y42,x43,y43,x44,y44,x45,y45,x46,y46,x47,y47,x48,y48,x49,y49,x50,y50,x51,y51
1,273.455,215.238,281.308,198.653,299.723,193.49,318.227,195.855,334.554,204.121,354.95,203.529,373.493,194.01,394.476,190.679,414.868,196.201,426.549,212.408,345.968,222.668,345.935,237.5,345.772,251.604,345.749,266.582,329.663,284.91,338.293,286.559,346.748,287.654,355.533,285.882,364.551,284.213,290.368,231.778,299.521,225.726,311.314,225.47,322.206,231.702,311.224,234.949,299.597,235.444,373.351,230.111,384.759,223.78,397.037,223.831,406.726,229.143,397.559,233.225,385.153,232.943,314.661,320.162,326.452,309.357,338.692,302.709,347.764,304.964,356.118,302.849,367.951,309.002,380.975,319.297,367.316,325.703,355.943,327.671,347.076,328.38,337.555,328.023,325.689,326.651,320.406,319.411,338.769,314.054,347.841,314.252,356.564,313.675,374.67,318.439,355.639,314.52,347.031,315.262,338.107,315.047
2,272.679,215.358,281.146,199.539,298.977,194.407,317.417,196.257,334.577,204.095,357.158,203.454,375.191,194.169,395.743,190.477,415.768,195.447,427.251,211.174,346.69,224.021,346.803,238.208,346.924,252.063,347.096,266.64,329.874,285.295,338.789,286.715,347.952,287.998,357.083,286.04,366.304,283.97,290.776,231.929,299.888,226.511,311.79,226.139,323.681,232.029,311.941,235.161,300.139,235.847,373.364,230.33,385.028,224.246,397.369,224.211,407.088,229.093,397.579,233.342,385.169,233.048,316.712,319.361,327.997,309.311,339.502,302.661,348.66,305.01,357.411,302.438,368.646,308.302,380.593,318.05,368.564,323.103,357.881,325.018,348.596,325.912,338.813,325.486,327.817,324.271,322.797,318.672,339.613,314.257,348.925,314.381,358.032,313.711,373.967,317.267,357.41,311.499,348.46,312.508,339.305,312.218
3,272.729,214.115,281.76,198.909,299.1,193.89,316.872,196.518,333.508,204.523,356.579,203.707,374.698,194.582,394.961,190.872,415.366,195.914,427.695,211.272,346.586,222.655,346.396,237.553,345.979,251.993,345.709,267.367,329.3,285.61,338.083,286.86,346.877,288.3,356.225,286.48,365.671,284.917,290.72,232.007,299.008,226.585,310.717,226.353,322.949,231.987,311.031,235.379,299.32,236.039,372.936,230.901,385.136,224.98,397.462,224.794,407.416,229.74,397.911,233.978,385.48,233.713,315.649,319.9,326.989,309.695,338.727,303.276,347.85,305.792,356.399,303.24,367.797,309.031,381.356,318.838,367.5,324.97,356.546,326.512,347.546,327.371,337.926,326.952,326.803,325.788,321.019,319.015,338.97,314.766,348.165,315.23,356.932,314.566,374.588,318.023,355.984,313.116,347.371,313.853,338.387,313.544
4,273.566,215.921,281.299,199.624,299.138,193.721,318.356,196.585,335.334,204.756,356.608,203.71,374.939,194.205,395.862,190.822,416.166,196.441,427.501,212.622,346.359,223.136,346.2,237.759,346,252.241,345.785,267.32,330.114,285.681,338.313,287.433,346.858,288.644,356.118,286.747,365.68,284.743,291.362,232.457,300.266,226.496,311.922,226.048,323.32,232.17,311.932,235.324,300.312,235.871,373.95,230.755,385.425,224.57,397.591,224.665,407.148,230.067,397.847,234.059,385.365,233.656,315.339,320.286,327.138,309.819,339.071,303.227,348.074,305.584,356.315,303.003,368.434,308.873,381.446,319.221,367.918,325.442,356.167,327.912,347.403,328.719,337.921,328.326,326.837,326.685,321.104,319.766,339.229,315.164,348.226,315.282,356.765,314.747,374.986,318.506,355.716,314.068,347.344,314.911,338.576,314.86
5,274.106,215.99,282.299,199.712,300.272,193.83,318.955,196.16,335.596,203.904,356.259,203.488,374.362,194.361,394.608,190.749,414.791,195.521,426.525,211.367,346.499,223.378,346.526,237.895,346.501,252.111,346.41,266.942,329.646,285.439,338.727,286.335,347.764,287.432,356.88,285.45,365.936,283.876,291.521,232.875,299.845,227.157,311.375,226.542,322.912,231.812,311.733,235.438,300.273,236.41,373.584,230.282,385.385,224.374,397.472,224.455,407.067,229.609,397.42,233.992,385.291,233.413,316.285,320.46,327.105,309.546,339.053,303.029,348.135,305.24,356.272,302.609,367.991,308.257,380.544,318.93,367.447,323.923,356.13,325.35,347.505,326.21,337.963,326.087,327.077,325.282,321.93,319.238,339.229,314.619,348.269,314.519,356.73,313.973,373.957,317.889,355.764,312.254,347.413,313.081,338.534,313.178
6,272.953,214.146,281.931,198.673,300.182,193.542,318.655,195.745,335.321,203.741,356.505,203.715,375.027,194.082,395.967,190.495,417.055,195.51,429.406,210.984,346.771,223.858,346.733,238.449,346.687,252.935,346.785,268.081,329.773,286.17,338.725,287.639,347.571,289.071,356.91,287.08,366.147,285.544,290.637,232.478,299.481,226.951,311.468,226.701,322.957,232.363,311.409,235.806,299.563,236.224,373.91,230.923,386.135,225.065,398.53,224.959,408.765,230.094,398.896,234.29,386.306,233.947,315.833,320.243,327.796,309.737,340.244,303.184,348.661,305.627,356.446,303.283,369.02,308.948,382.827,318.772,368.366,325.347,356.31,327.548,347.927,328.144,339.124,327.915,327.458,326.756,321.623,319.396,340.436,315.55,348.807,315.714,357.028,315.206,375.976,317.996,355.789,314.601,347.699,315.119,339.535,314.965
7,274.416,216.107,283.157,199.359,302.038,193.776,320.809,196.665,337.921,205.457,355.205,204.586,374.572,194.897,396.268,191.481,417.472,196.711,429.116,214.331,347.381,223.494,347.242,237.751,347.183,251.939,347.119,267.101,329.622,284.443,338.628,286.282,347.783,287.785,357.011,286.044,366.335,284.503,291.814,231.905,300.929,226.603,312.169,226.17,323.948,231.749,312.34,234.572,300.973,235.348,374.899,230.215,386.697,224.679,398.624,224.75,408.397,229.792,398.501,233.439,386.386,232.683,316.636,319.302,328.043,309.593,339.314,303.229,348.021,306.131,356.309,303.395,367.927,309.315,381.254,318.799,367.991,324.253,356.754,325.717,348.025,326.606,338.814,326.019,328.119,324.928,322.544,318.633,339.436,315.143,348.207,315.682,356.821,315.01,374.533,318.02,356.431,312.447,347.942,313.045,339.312,312.819
8,273.306,215.825,282.063,199.361,299.843,193.299,318.264,195.793,335.519,203.064,358.013,202.572,375.946,194.102,396.301,190.465,416.571,195.359,428.187,211.137,347.298,223.838,347.354,238.561,347.428,252.769,347.503,267.564,330.093,285.953,339.233,287.154,348.221,288.367,357.721,286.396,367.212,284.664,290.681,232.446,299.555,226.811,311.312,226.32,323.303,231.963,311.363,235.108,299.696,235.832,373.878,230.367,385.457,224.605,397.623,224.577,407.588,229.656,397.939,233.572,385.588,233.087,315.149,319.526,327.612,309.272,340.235,302.919,348.599,305.081,356.258,302.939,368.543,308.583,382.226,318.24,368.332,324.798,356.391,327.43,348.096,328.075,339.058,327.771,327.051,326.433,321.217,319.142,340.237,315.277,348.653,315.138,356.655,314.891,375.449,317.785,355.953,313.668,348.039,314.043,339.775,314.162
9,275.041,214.49,284.328,199.76,301.834,195.335,319.548,197.83,336.042,205.372,356.436,204.79,375.307,196.183,395.803,192.541,416.141,197.285,428.169,212.585,347.348,223.684,347.13,238.578,346.9,252.973,346.65,268.048,329.553,285.631,338.51,287.344,347.761,289.056,357.198,287.126,366.247,284.926,292.604,232.143,301.239,226.581,313.048,226.054,324.958,231.66,313.1,234.954,301.397,235.753,372.407,230.462,384.634,224.539,397.008,225.027,406.894,230.238,397.147,234.28,384.552,233.589,316.561,319.262,327.968,309.058,339.055,303.136,348.217,305.472,356.946,303.024,369.01,308.499,382.187,318.631,368.658,324.017,357.089,326.09,347.837,326.82,338.319,326.094,327.86,324.651,322.652,318.855,339.163,314.644,348.281,314.834,357.242,314.196,375.344,317.666,356.6,312.97,347.845,313.526,338.866,313.182
10,272.555,216.057,281.7,200.63,299.217,194.785,317.511,196.78,333.836,203.34,356.246,203.661,374.836,195.071,395.641,191.449,416.124,196.916,428.777,211.886,346.476,223.298,346.373,238.013,346.412,252.493,346.452,267.795,328.773,284.928,337.887,286.802,347.097,288.255,356.562,286.306,365.984,284.55,290.249,232.229,299.282,227.43,310.873,226.99,321.605,231.848,310.797,235.242,299.492,235.99,374.581,230.302,385.976,225.352,397.967,225.76,407.797,230.524,398.165,234.27,386.045,233.665,315.292,319.763,327.397,309.43,339.349,303.001,347.909,305.302,356.4,302.726,368.106,308.634,381.225,318.666,368.449,325.068,357.261,327.013,348.28,327.703,339.175,327.708,327.418,326.063,321.351,319.041,339.525,314.823,348.087,314.891,357.072,314.342,374.541,317.717,356.648,313.711,347.97,314.354,339.536,314.352
