time,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16,x17,y17,x18,y18,x19,y19,x20,y20,x21,y21,x22,y22,x23,y23,x24,y24,x25,y25,x26,y26,x27,y27,x28,y28,x29,y29,x30,y30,x31,y31,x32,y32,x33,y33,x34,y34,x35,y35,x36,y36,x37,y37,x38,y38,x39,y39,x40,y40,x41,y41,x42,y42,x43,y43,x44,y44,x45,y45,x46,y46,x47,y47,x48,y48,x49,y49,x50,y50,x51,y51
1,241.1,199.085,251.93,184.026,270.994,179.413,289.637,181.662,307.461,188.582,331.16,187.147,348.683,176.95,369.507,172.032,391.113,175.654,405.88,189.149,320.73,209.124,321.517,225.319,322.076,241.004,322.638,257.138,305.018,276.446,314.595,277.666,324.096,278.676,333.794,276.466,343.762,274.667,261.221,221.123,270.675,215.245,282.824,214.223,295.379,220.08,283.382,223.557,271.252,224.409,349.514,216.198,361.388,209.565,374.002,208.952,385.297,213.702,374.76,217.849,361.96,218.295,290.314,311.819,302.644,300.755,315.218,293.519,325.688,295.502,334.781,292.611,347.539,298.019,363.111,308.016,348.297,314.717,336.51,317.546,326.247,318.977,315.541,318.994,302.985,318.331,296.493,310.808,315.858,306.039,326.138,306.025,335.815,304.774,356.013,307.34,335.165,303.468,325.545,304.658,315.533,305.24
2,244.911,198.436,254.639,182.966,273.115,179.143,291.727,181.926,308.931,188.948,332.156,187.38,349.337,177.252,369.773,172.66,390.643,175.696,404.815,189.05,322.052,209.146,322.502,225.218,323.05,240.898,323.466,256.968,306.012,276.333,315.463,277.707,324.643,278.815,334.564,276.838,344.334,274.683,263.171,220.363,273.003,214.354,285.598,213.4,298.385,219.268,285.844,222.708,273.343,223.889,349.406,215.935,361.527,209.608,373.955,209.409,385.443,214.042,374.789,218.183,362.26,218.364,290.885,312.93,303.725,302.448,315.757,295.205,325.779,297.517,335.306,294.368,347.508,300.037,362.036,309.447,347.677,315.113,336.268,317.227,325.887,318.654,315.332,318.773,303.416,318.39,296.845,312.155,316.041,307.726,326.048,307.612,336.069,306.564,354.933,308.998,335.212,303.487,325.3,304.633,315.457,304.916
3,244.599,197.618,255.304,182.939,273.873,179.403,292.753,182.085,310.18,189.673,332.257,188.105,349.681,178.076,369.918,173.384,390.579,176.2,404.727,189.197,322.758,209.351,323.503,225.752,324.252,241.885,324.897,258.316,307.078,277.29,316.863,278.189,325.902,279.268,335.379,277.108,344.721,275.325,263.259,221.032,273.399,215.27,285.426,214.562,297.427,220.541,285.847,223.641,273.793,224.58,350.433,216.985,362.236,210.653,374.393,210.027,385.471,214.774,375.192,218.508,363.028,218.939,291.177,311.786,304.317,301.046,316.943,294.61,327.03,297.022,336.192,294.025,348.67,299.087,361.881,308.52,348.331,315.059,336.778,317.923,326.694,319.501,316.117,319.543,303.722,318.481,296.968,310.887,317.457,306.917,327.33,307.049,337.016,306.025,354.899,307.897,335.639,304.406,325.992,305.502,316.234,305.655
4,245.265,198.929,255.105,182.695,273.537,178.73,292.372,181.056,309.756,188.419,334.305,187.669,351.609,177.562,372.222,173.195,393.284,176.577,407.012,190.58,323.957,209.055,324.773,225.156,325.543,240.951,326.344,257.119,307.676,276.582,317.38,277.858,326.632,278.857,336.712,276.824,346.32,274.688,264.096,220.092,273.999,214.24,286.101,213.64,297.853,219.537,286.325,222.748,274.243,223.697,351.919,216.195,363.813,209.7,375.795,209.536,387.27,214.329,376.667,218.22,364.361,218.529,291.466,312.351,303.889,301.137,316.845,294.142,327.131,296.62,336.984,293.749,349.829,299.724,363.646,309.332,349.816,316.824,338.307,319.071,327.597,320.321,316.86,320.031,304.039,318.922,297.278,311.422,317.496,306.808,327.624,306.905,337.962,306.009,356.446,308.956,336.997,305.555,326.725,306.548,316.736,306.617
5,244.299,197.884,254.546,182.58,273.143,178.459,292.104,181.209,309.48,188.546,333.615,186.962,351.108,177.333,371.357,172.573,392.092,175.244,406.159,188.05,322.964,209.345,323.851,225.141,324.763,240.491,325.568,256.043,307.406,276.803,317.257,277.836,326.503,278.559,335.999,276.807,345.58,275.033,264.09,220.12,274.081,214.101,285.873,213.337,297.081,219.5,286.233,222.565,274.426,223.425,352.734,216.061,364.07,209.474,375.841,209.06,386.698,214.041,376.555,217.945,364.641,218.247,292.741,312.454,304.759,301.461,317.501,294.483,327.243,296.872,336.504,293.98,348.91,299.508,363.01,308.641,348.933,315.029,337.44,317.343,327.231,318.65,317.172,318.578,304.831,317.792,298.637,311.547,318.143,307.075,327.522,306.974,337.313,306.232,355.81,308.407,336.351,304.32,326.643,305.284,317.279,305.613
6,242.423,197.362,253.39,182.034,272.26,178.381,291.33,181.045,309.373,187.879,333.581,186.84,350.978,177.029,370.774,172.002,391.239,174.559,405.124,187.924,322.49,208.846,323.527,225.07,324.525,240.67,325.428,256.913,306.846,276.034,316.78,277.07,326.236,278.228,336.226,276.057,346.037,274.202,262.858,220.339,272.485,214.451,284.836,213.528,297.117,219.292,285.217,222.755,272.921,223.8,350.02,215.918,362.133,209.5,375.029,209.429,386.466,214.31,375.5,218.232,362.476,218.416,292.895,312.348,305.216,301.303,317.608,294.229,327.596,296.542,336.129,293.42,348.583,298.934,362.72,308.417,348.795,314.993,337.678,317.357,328.011,318.743,317.854,318.75,305.703,317.679,298.984,311.501,318.185,306.881,328.024,307.03,337.141,305.842,355.341,307.941,336.26,303.072,327.251,304.53,317.614,304.58
7,244.878,198.06,255.352,183.075,273.693,179.812,292.223,182.465,309.76,189.532,331.585,187.66,349.532,177.98,369.682,172.88,390.853,174.772,405.769,187.667,321.657,209.409,322.364,225.667,322.903,241.656,323.442,257.841,306.641,276.459,316.274,277.637,325.743,278.837,335.437,276.657,345.063,274.985,264.322,220.391,273.632,214.439,286.112,213.738,298.849,219.163,286.441,223.04,273.967,224.18,349.669,216.255,361.985,209.961,374.729,209.756,386.107,214.258,375.504,218.671,362.441,218.904,293.229,311.907,304.911,300.953,316.585,294.499,326.84,296.652,336.358,293.651,349.007,299.543,364.311,308.46,349.819,314.837,337.993,317.047,327.574,318.409,316.683,318.276,305.288,317.17,299.123,311.434,317.091,306.853,327.246,306.992,337.243,306.011,357.11,307.963,336.589,302.937,326.763,304.185,316.702,304.125
8,244.943,197.046,255.257,182.441,273.334,178.521,291.521,181.029,308.289,188.013,332.488,187.109,349.802,177.264,370.022,172.435,390.417,174.794,405.105,187.352,322.325,209.607,323.144,225.633,323.926,241.257,324.58,257.002,306.511,277.505,316.312,278.551,325.549,279.536,335.43,277.396,345.294,275.559,263.669,220.941,273.381,214.743,285.292,214.005,297.599,220.205,285.676,223.38,273.661,224.325,350.353,216.654,362.082,209.844,374.531,209.463,385.764,214.657,375.257,218.583,362.661,218.813,291.727,312.418,303.942,301.939,316.576,294.541,326.901,296.801,336.302,293.836,349.393,299.416,363.963,308.345,349.802,315.83,337.673,318.524,327.257,319.89,316.395,319.772,304.265,318.245,297.864,311.593,317.198,307.412,327.31,307.491,337.268,306.269,356.678,308.195,336.359,304.195,326.391,305.251,316.346,305.4
9,244.047,198.353,254.696,183.077,273.363,179.352,291.798,182.031,309.255,189.164,334.438,187.564,351.939,177.584,372.339,173.295,393.101,176.298,407.61,189.579,322.997,209.78,323.656,225.78,324.34,241.244,324.909,257.035,307.269,276.942,316.866,278.295,325.946,279.229,335.789,277.276,345.324,275.43,263.334,220.956,272.705,215.052,284.799,214.43,297.12,220.097,285.245,223.511,273.218,224.619,351.946,216.682,363.388,210.03,375.851,209.78,387.241,214.532,376.778,218.512,364.197,218.93,292.571,312.108,305.396,301.505,317.209,294.41,327.042,296.732,336.287,293.818,348.735,299.359,363.221,308.332,349.111,313.962,337.746,316.432,327.489,317.903,317.165,317.84,305.432,317.652,298.918,311.033,317.718,306.43,327.371,306.54,337.142,305.635,356.237,307.473,336.368,302.647,326.492,303.74,317.008,303.894
10,244.091,198.978,254.615,183.199,273.684,179.63,292.647,182.487,310.281,189.777,334.206,187.592,351.852,177.316,372.469,173.179,393.026,176.69,406.864,190.668,323.281,209.669,323.71,226.002,324.215,241.846,324.576,258.037,307.765,278.053,317.091,279.104,325.843,280.043,335.345,277.926,344.672,275.934,263.744,220.797,273.914,214.196,286.516,213.379,298.522,219.895,286.828,223.332,274.195,224.421,350.62,216.659,363.084,209.083,375.927,208.889,386.891,214.632,376.544,218.706,363.544,218.895,291.702,312.514,304.139,301.84,317.015,295.218,326.734,297.62,336.023,294.592,349.262,299.979,362.509,308.753,349.109,315.194,336.939,318.284,326.514,319.69,316.415,319.888,303.884,318.695,297.924,311.572,317.485,307.569,327.185,307.658,336.881,306.74,355.577,308.267,335.705,305.21,325.998,306.187,316.532,306.489
